question,context
can a strong baselike sodium hydroxide hydrolyse you?,"1oils present a special problem because they tend to""crosslink"" or polymerize—turning darker and becomingmore difficult to remove, until only an extremely strong baselike sodium hydroxide can effectively hydrolyse them"
Which solvents will often remove the major portion of oils?,"verypolar organic solvents such as acetone or even méthylènechloride will often remove the major portion of oils, especiallywhen used in combination with a poltice, the nature of whichwill be discussed later"
can surface cleaning be done for a long time?,"5 surface cleaningmetallic stains can sometimes take a period of years to emergebecause of existing veins of siderite, a grey iron carbonitewhich gradually turns brown or orange as it slowly changes toferric oxide or hydroxide"
Why are iron pins and clips placed in thestatue?,"2 more often, iron stains are causedby the inclusion of iron pins, rods, and clips placed in thestatue for support by past restorers any time from antiquity tothe present day"
how can stains be reduced?,"these stains can be reduced by a number ofchemical procedures, such as the use of citric or oxalic acid orthe application of e.d.t.a. (ethylenediamidetetracetic aciddibasic)"
what is dt.a. a?,"d.t.a. (ethylenediamidetetracetic aciddibasic). stambolov, in his article ''notes on the removal ofiron stains from calcareous stone,"" describes all of the various methods"
How much of the effectiveness of thesemethods depends on the age of stains on stains?,"3 of course, much of the effectiveness of thesemethods depends on the age of the stains"
what is the melting point of shellac?,"a major cause of stains are adhesives, especially shellac—asticky orange material prepared from the lac insect and composed of dihydroxyficocerylic acid, some waxes, and coloring, with a melting point of 77 to 82 degrees centigrade"
"Which glues are more powerful, acrylic or shellac?","4 itsstaining character and acidity are the primary concerns for theconservator. since the end of world war ii, many acrylic andplastic glues have been developed which are more powerfulthan shellac"
is polyvinyl acetate a good adhesive or bad adhesive?,"v.a.—or polyvinyl acetate—is especially problematic; not only is it readily available, but it issuch a strong adhesive that it tends to be harder than most ofthe substances on which it is applied"
if a substance like p.v.a. gets into pores of a material such as,"when a substance likep.v.a. gets into the pores of a material such as marble, it tendsto shrink or otherwise act as a substance of different densitythan the body of the artwork"
can differential shrinkage cause cleavage?,"in turn, differential shrinkagecauses cleavage, often pulling away portions of the originalmaterial and making eventual registration even more difficult"
How do you remove the glue from a stone?,"removing all remnants of this adhesive is a timeconsumingordeal: although the glue is soluble in boiling alcohol, largeamounts remain deeply buried in the stone and necessitate theuse of a microscope"
Why are grouts and grouts harder than marble?,"cements and grouts of various kinds canleave a grey cast on or in the stone because they can chemically interact with the material and penetrate its structure; inmost cases, they are also harder than the marble"
What should be done before the application of any adhesive?,"a thorough cleaning of the surface should precede the application of any adhesive. before discussing the actual cleaningprocedure, it is best to point out several precautions"
what is a valuable record of a work's original appearance?,oftensculpture has remnants of pigment present on its surface6 surface cleaningmarble cupids in the process of being cleanedwhich act as a valuable record of the work's original appearance
what can be used to examine the surface of the sculpture?,"careful examination of the sculpture by ultraviolet, infrared, and day light and the use of optical devices such as adissecting microscope can indicate the areas of pigment, fills,breaks, and calcarious deposits such as root marks"
"if pigments are detected, can a system of thixotopic paste be used?","if pigments are detected, a system of thixotopic paste can be used"
What is important to preserve on thesculpture?,"5as important as it is to preserve pigments which are on thesculpture, care should be given at the same time to the structural integrity of the piece, since unjudicious cleaning cancause it to come apart, damaging the artwork and possibly theconservator as well"
most structural fills are soluble in what?,most structural fills are either soluble inwater or will otherwise separate from the surface on whichthey were placed
what is the only thing that can hold a piece together?,often these fills or adhesives are the onlythings which still hold a piece together
where can you find inventory numbers on a statue?,"inventory numbers,signatures, or other marks which give historical informationabout the provenance of an artwork are often overlooked onthe bottom or underside of a statue"
What should be taken to document the condition before beginning treatment?,"such information shouldbe protected and recorded before cleaning, and a photographshould always be taken to document the condition beforebeginning treatment"
How should the surface of a sculpture be treated?,"7 surface cleaningduring the cleaning process, several general principles shouldbe followed:1 the entire surface of the sculpture should always betreated uniformly by each step of the procedure"
will the sculpturesshould be dusted or not dusted?,"2 before beginning the actual cleaning process, sculpturesshould be thoroughly dusted so that surface details can beseen during examination and so that loosely adhered particles will not be washed into the surface"
How to clean a marble statue?,"3 because marble is a porous substance, cleaning can proceed more easily if the statue is prepared by gently heating its surface with warm, then progressively hotter, water"
what should be done evenly on a stone?,"any wetting of the stone should of course be done evenly.4 the order of application of solvents, soaps, and reagentsshould always proceed from the weakest to the strongest"
what is the cleansequence of marble?,"5 chipping, flaking, or sugary marble can alter the cleaningsequence; often these areas must be protected, infused, orcan only be treated with organic solvents"
How can I remove stains from my walls?,"6 often, combinations of aqueous and organic reagentsused successively will loosen stains which either, whenused alone, will not"
how many poltices are needed to clean a stone?,7 poltices can be an especially good way to ensure thatstains are carried above the surface of the stone and arenot washed into its surface
how to keep rapidevaporating solvents in place,"they also act to keep rapidevaporating solvents in place, so that they can be used tomaximum effectiveness"
how to remove grease from a grease sink,8 the application of wet heat via the use of steam canenhance the chemical action of various steps of thecleaning process
the ph of the surface of the reagents should be thoroughly rinsed away,9 the reagents should always be thoroughly rinsed awayand the ph of the surface measured to check its acidityor alkalinity
How many mechanical devices should be in a marble countertop?,10 mechanical devices should be nonabrasive to the surfaceof the marble and should be small enough to get into tinycrevices and between design elements
will brushing motions be applied to the surface?,11 brushing motions should follow cracks and design features; pressure should be applied toward the surface toremove grime from pitted areas
how to clean the bottomor?,12 surface cleaning should be done from several angles asone can easily miss dirt which is not seen from the bottomor side. cleaning should always be done in good light
how to keep your carpet from dripping?,"cleaning should always be done in good light.13 to determine the best cleaning pattern, use the designelements as an index. move from bottom to top so thatany dripping will not leave streaks"
how to clean a pool,"move from bottom to top so thatany dripping will not leave streaks.8 surface cleaning14 the drying process should be such that solvents do notremain in pools, thereby concentrating their effects"
when should you use harsh detergent?,"too selectively.during actual cleaning, the use of detergents should proceedfrom the nonionized to the harsher types"
what to do with the orvis paste?,"orvis paste byprocter & gamble is an excellent starting point, after whichorvis paste mixed with a few drops of ammonia could beused"
Is haemosol good for theremoval of dried blood or other proteinlike materials,"the medicalsurgical soap haemosol is very good for theremoval of dried blood and other proteinlike materials. ifonly organic solvents can be used, igypal is an excellentagent"
what kind of cleaner is igypal?,"ifonly organic solvents can be used, igypal is an excellentagent. it was developed for use in ultrasonic cleaners whichemploy the fluorocarbons as a cleaning medium"
the use of detergents for cleaning textiles is discussed by who?,"the use ofdetergents for cleaning textiles is discussed by judithhofenkde graff,6 but many of its basic premises also apply tothe cleaning of stone"
when washing hands,"after applying cleaning agents, oneshould allow sufficient time for the solvents to act. the procedure should be repeated until the rinse water is clear"
how to clean a statue?,the procedure should be repeated until the rinse water is clear. cleaningcan often be impeded by the presence of wax that was addedto the sculpture as a fill or as a protective coating
how to remove beeswax from hair,wax iseasily removed by the use of naphtha or petroleum ether
what can be removed with xylenes?,"oils and discolored biological products can often be removedwith xylenes, while more difficult stains may require the useof acetone, alcohol, or the chlorinated hydrocarbons such asméthylène chloride"
where should méthylène chlorideshould be restricted to?,"because it is extremely dangerous ifinhaled over a period of time, the use of méthylène chlorideshould be restricted to a well ventilated area"
is it safe to burn a campfire?,"sparks and anyopen flame are of course to be avoided, as fire hazards"
the vermont marble company produces several excellentcleaning products and what else?,"the vermont marble company produces several excellentcleaning products, organic solvent systems, and rust removers, but these should only be used after experimentation andshould always be carefully watched because harsh chemicalsmay etch a marble surface"
Is the purple cleaner a good or bad cleaner?,the author has found the purplecleaner to be especially good as it contains an internal indication system allowing the acid and basic phases to be easily seen
what is the special form of chloramin t?,"there are classes of stains which do not easily respond to anyof the above treatments, and the use of chemicals such assodium hypochlorocite—or its special form, chloramin t, usedby paper conservators—becomes the treatment of choice"
how to apply thismaterial?,thismaterial can be applied by brush or held in place with a pol9 accretions on stonetice
how much is hydrogen peroxide in water?,"hydrogen peroxide 3%, in water activated with a drop ofammonia, can be an effective agent for bleaching out certainclasses of stains"
what is a goodconservation of marble?,cleaning can be one of the most important aspects of goodconservation of marble
Why do unscrupulous dealers add stains to the surfaces of sculpture?,"at the end of a discussion of cleaningmethods, it should be stated that stains are often deliberatelyapplied by unscrupulous dealers to the surfaces of sculpturein order to hide fills, damages, and the addition of new piecesor details which would increase the price of the work"
why do you add stains to a stone?,"often,the reason for adding stains is to make the stone appear olderthan it is"
will a cross section be taken?,"to determine if such a procedure has been performed, the sculpture should be examined under an ultraviolet light of short wave length, or a sample of the surfaceshould be taken and a cross section performed"
where is the soxlet extractor located?,"the sampleshould first be cleaned in a soxlet extractor—a device whichallows a solvent of low boiling point to wash continuouslyover it, carrying the stain into a trap in the bottom of thedevice"
How many stains are on the stonemost marble statuary?,"accretions on stonemost marble statuary that has been buried has on its surface acollection of sand, dirt, and various stains, all adhered by calcarious cementum"
calcarious deposits are precipitated from what?,the calcarious deposits are either precipitated from ground waters or occur when calcium salts arewashed out of the body of the marble
is the marble as hard as the marble itself?,"often the calcium accretions absorb various iron salts which, when they precipitateout from the ground onto the surface of the sculpture, becomealmost as hard as the body of the marble itself"
is calcium salt used in calcium salts?,"unfortunately,silicates often accompany the calcium salts to further hardenthe mixture"
the removal of these deposits is always a what?,"the removal of these deposits is always a difficult matter, because they are intimately bound to the statue and are of a nature similar to the material from which they are to be cleaned"
will rinsing with distilled water remove soluble components and freethe crust with a minimum of,"in the case of loosely adhered accretions, rinsing with distilled water will often remove soluble components and freethe crust with a minimum of mechanical teasing"
How can calcium carbonite be removed?,"tightlypacked or wellcrystallized calcium carbonite—which could bethe product of both exterior and interior deposits—may haveto be removed in a slow mechanical way under magnification10 accretions on stonethe laser being  used  as a cleaning deviceand with a  scalpel, brass  brush, or tin y pick"
how to use mild bases on ston e?,"minera l acids , care fully applied t o selected area s after  the ston e has  been prepared by the application o f mild bases , ensur e a minimu m ofrisk"
shoul d be treated with what treatment?,area s treated in  this way shoul d be neutralized periodi cally durin g treatment  and thoroughl y rinsed  afterwar d so thatthe product s of the treatmen t will  not appea r on the surface  asan efflorescenc e of tiny crystals
how to keep surfac ebeing treate d under control,it i s wise to chec k the surfac ebeing treate d with mineral  acids  from  time t o time with p hpape r to keep the proces s under control
what is a new and efficien t way to remov eaccretions?,thi s step i s espe cially important  after the entir e job has been completed .the air abrasive system is a new and  efficien t way to remov eaccretions
the device can be carefully controlle d by usin gcombination s of air press,"the device  can be carefully controlle d by usin gcombination s of air pressur e setting s and abrasive s which are11 surface patination or altérationavailable commercially and include sodium bicarbonate,dolomite, crushed glass, glass beads, aluminum oxide, andcarborundum"
how do you reduce the abrasive effect of a nozzle?,"the effect of the abrasive is diminished rapidlyby removal of the nozzle from the surface being treated, andthe aperture of the nozzle is only about onehalf millimeter indiameter"
who describes the airabrasive process for cleaning ethnologicalmaterials?,"bethune gibson describes its use in her article, ""theuse of the airabrasive process for cleaning ethnologicalmaterials"
How to clean a vacuum?,"""7 accurate cleaning with the air abrasive unit canbe done under a microscope in a dustfree chamber"
Which methods seem to remove only surface accretions when properly employed?,"air abrasive methods seem to remove only surface accretionswhen properly employed, but there are a growing number ofconservators who argue that a great amount of the surfacecharacteristics of the sculpture is altered as well"
the latestadvance to come from the laboratory is the acleaning what?,the latestadvance to come from the laboratory is the use of the laser as acleaning device
How long can a laser be used in bursts of 1ct3to 10-10 seconds,"the laser can be used in bursts of from 1ct3to 10~10 seconds, a time period so short and intense that itseems to vaporize only substances which are vastly differentin color from the material being cleaned"
"the report by asmus,seracini, and zetler titled surface morphology of","a report by asmus,seracini, and zetler titled surface morphology of lasercleaned stone8 gives the physics involved and provides scanning electron micrographs of cleaned stone"
What is a devicenow used for?,"another devicenow being used for deposits which are nearly the same coloras the stone is the flash lamp, which uses powerful florescentbulbs in combination"
can the surface of an object be changed or altered?,surface patination or alterationthe surface of any object can have what conservators calleither a vile or a noble patina
the term patina refers to what?,"the term ""patina"" refers to analteration of the basic material of which the artwork is constructed. marble is altered by several mechanisms involvingconversion of calcite to other products"
water can carry what to the surface and then evaporate?,"water can carrychlorides to the surface and then evaporate, leaving them toeffloresce and bloom just under the surface"
How many millimeters deep is the surface of a stone?,"when combinedwith the effects of other patination, this phenomenom cancause tons of pressure which will strip the surface to severalmillimeters deep from any stone"
calcium and magnesium carbonate can be converted to their sulphates by the action ofrain,calcium and magnesiumcarbonate can be converted to their sulphates by the action ofrainwater and dissolved gases
can you remove sulfatio n and the resul t after cleaning?,"although prevalent in statuaryfrom rural locations, this condition is particularly dangerousin the city, where byproducts of burning hydrocarbons are12 surface patination or altérationan example  of sulfatio n and the resul t after cleaning13 surface patination or altérationmany times more destructive (winkler 1970)"
when does the conversion of the calcite occur?,9 it is interestingthat conversion of the calcite seems to occur only after sootand other particles have formed a layer on the surface of thestone
What is the process called when carbonates and free sulphur interact to convert carbonates into,"10 soot and the free sulphur interact to convert the carbonates into a dark brown to black layer on the surface of calcium bearing stone, a process called sulfation"
Will it occur when water repeatedly rinses over the surfaces of buildings?,"where waterconstantly rinses over the surfaces of buildings, this phenomenom will not occur"
the dark skin interacts with what to create thick eruptions?,the dark skin interacts with theconverted calcium sulphate to form thick eruptions which destroy sculptural detail on the surfaces attacked
does sculpture keptindoors have air conditioning or filtration?,a more subtlebut equally dangerous effect occurs with sculpture keptindoors where there is no air conditioning or filtration
what causes the outerlayer and body material of a sculpture to separate?,"afterrepeated expansions and contractions due to temperature fluctuations, the difference in density between the altered outerlayer and the body material of a sculpture causes them tocleave and separate"
how to remove a layer from a sculpture?,removing such a layer from a sculpture is a difficult problembecause in doing so one must ultimately lose some of the surface as well
what is the most efficient and easily controlled technique?,"applications of distilled water will remove smallamounts of the black crust, but the author has found the use ofan air abrasive device with glass beads to be the most efficientand easily controlled technique"
who is doing theaser cleaning?,laser cleaning is currentlybeing done with great success by dr. asrrius in venice. dr
Where is the san gregoria lab located?,"lazzarini and his colleagues at the san gregoria lab in venicehave successfully impregnated several pieces of stone againstthe effect of sulphur, but the technique remains impractical asyet for larger architectural projects"
the removal of sulfation is important to the appearance and future preservationof what?,the removal of sulfation isof vast importance to the appearance and future preservationof a sculpture
"the attack of the porous stone by organismsssuch as fungi, lichens, and bacteria","a problem often encountered by conservator when treatingsculpture which has been kept outdoors for long periods oftime is the attack of the porous stone by biological organismssuch as fungi, lichens, and bacteria"
Which type of rock do fungi tend to prefer?,"fungi of the calcicoloustypes prefer carbonate rocks, while the silcolous variety affectsonly igneous rocks"
Where do lichens live?,"of the organisms, lichens seem to do thegreatest damage, because they apparently live between andwithin the actual crystals of the rock"
the surface of the sculpture affects not only the appearance of what but its structure as well?,"this affects not only theappearance of the sculpture, but its structure as well"
how do bothfungi and lichens attack stone?,bothfungi and lichens seem to attack stone which either has beencovered with plaster or was converted to calcium sulphate byexposure to atmospheric sulphates
the effect of attack by biological organisms on surface patinatio n is known as what?,"1114 surface  patinatio n or alteratio nan outdoor sculpture which had been partially covered by plantsover a period of time15 surface patination or altérationthe effect  of attack  by biological  organisms (th e hea d had been removed  and cleane d during  the renaissance )16 surface patination or altérationdamage resulting  from buria l in sea wate r17 weathering + general decompositionbiological organisms will decompose stone when two sets ofcircumstances are present: retention of water on the surface,and a complex physical chemical reaction"
How did these organisms increase their capacity for contact with water?,"in the former situation, these organisms—because of their very mass and the factthat they finely etch the marble—increase the amount of surface area, thereby multiplying its capacity for contact withwater"
How many forms does the latter phenomenom take?,"in addition, the organisms themselves retain water intheir bodies. the latter phenomenom takes two separate forms"
What are rhizomes?,"firstly, an ion exchange will occur when hydrogen atoms released by rhizomes—rootlike projections on various speciesof lichen—are exchanged for metallic ions which are used asnutrients for the organisms in the stone"
Which forms oflichen and fungus release oxalic and citric acid during their metabolism,"certain forms oflichen and fungus, such as aspergillim niger and spicaria,release oxalic and citric acid during their metabolism in exchange for aluminum, magnesium, and silicon dioxide"
What is a good way to stop microfloraand the growth of higher plants?,"12 theuse of 3% to 5% solutions of silico organiciqueries—such asmethsiliconate of sodium, sodium ethsiliconate, and aluminum methisiliconate—are a good way to stop microfloraand the growth of higher plants"
How many bacteria can survive on cleaned surfaces?,"13 bacteria seem unable tosurvive on cleaned surfaces, but, once they get a foothold,their growth is exponential"
What has been buried inthe sea?,marble which has been buried inthe sea has also been known to be attacked by various musselsand worms of the polychete family
Why is it important for water to penetrate stone?,"surface weathering and general decompositionwhen water is allowed to penetrate stone because of eitherburial or constant inundation by rain, one can expect thetransport of various ions to the surface"
What happens to the structural constitution of theentire mass?,"when deposits havecollected on the surface, they are carried away by furtherwashings, thereby weakening the structural constitution of theentire mass"
What is a major cause of instability in the wind?,"chlorides carried by the wind are another majorcause of instability, and changes in temperature will acceleratestone decomposition"
does cold air create more or less accumulation of carbon dioxide from water?,"cold air allows a greater accumulationof carbon dioxide from water, while heat speeds up chemicalreactions"
How does rainwater affect carbonatesto sulphates?,"rainwater also promotes the alteration of carbonatesto sulphates, and this condition, added to the pressure createdby chlorides pushing outward, causes widespread damage"
What happens to a marble when it touches it?,"marble in this state is often ""sugary"" to the touch and simplyfalls away of its own accord"
can you remove a foot from a statue?,18 weathering + general decompositionthe light are a shows  erosion  from internal  weakness cause d by water(the pile  of marble dust b y the foot has  fallen awa y from the statue)
what is the cause of capillarity?,19 weathering + general decompositionfracture s cause d by the inclusio n of iro n pinsthe two photograph s on the cove r are graphi c example s of theeffect of capillarity
the churc h of santa mari a dei miracol i inven,"the churc h of santa mari a dei miracol i invenice  has a partia l foundation : half of the building  rests onstone and  wood pilings , and  the remainde r stands  in water"
what are the details of the door frame s on opposit e sides of the church?,the two  roundel s illustrated are  details of  door frame s on opposit e sides  of the church
the side show of th e doo r from the side of the builton side show,"while th e doo r from the side  builton the foundation is i n relativel y goo d condition,  the one fromthe unprotected  side show s marke d erosion an d interna l destruction"
"the desig n elements o n the surfac e hav e bee n lost,","the desig n elements o n the surfac e hav e bee n lost,cleave d from the ston e as a resul t of wate r draw n upwar d intothe marble b y capillary  action  over th e past four  centuries"
iron pin s are used to do what?,iron pin s used to strengthen  joints  are actually  a sourc e ofcountless fractures
how do the iron discolors weaken s it?,"the  iron discolors , permeate s the struc ture of the intercrystallin e matrix , weaken s it, and , upon oxidation, expands to act as a wedge splitting th e stone"
What is added to marble to strengthen it?,"20 weathering + general decompositionbefore a strengthening agent is added during treatment, marble which has suffered loss of its structural integrity must becleared of contaminating salts"
chlorides arevery reactive and can stop polymerization of what?,"chlorides, in particular, arevery reactive and may actually stop polymerization of theadded resin"
how to remove salts from a surfacethole?,the salts can usually be removed by immersingthe object in distilled water or otherwise inundating the surfacethoroughly
when opening pores of marble to allow complete entry of the strengthening agent,the pores of the marble must be opened to allowcomplete entry of the strengthening agent
is silicagel a good consolidant?,"some researchers have experimented with various plasticssuch as silicone esters which, upon polymerization into silicagel, act as a good consolidant"
the difficulty in using this system is in getting the agents which cause the reaction intoprox,14 the difficulty in using thissystem is in getting the agents which cause the reaction intoproximity of the silica
is triethylamine a strong acid or a weak base?,"this reaction requires either strongacids—like phosphoric, nitric, or sulphuric—or any of thecomparably strong bases. it has been discovered that triethanolamine can also be effective"
how many silicones have been tried?,"it has been discovered that triethanolamine can also be effective.15 other silicones such asmethyltriethoxysilane have been tried, but they apparentlywill not penetrate nor form good coatings"
what is a good alternative to pure silicones?,"epoxy resins have been suggested as possible alternatives, butthey, like the pure silicones, are difficult to get into the stone"
How couldomers be taken into the stone by using largequantities of solvent?,"monomers, being of much smaller size, would seem to be alogical choice and could be taken into the stone by using largequantities of solvent until the solute reached 15% by weight"
was it thought that putting the entire sculpture into a vapor of the solvent would drive the plastic,itwas thought that putting the entire sculpture into a vapor ofthe solvent would ultimately drive the plastic to its limit
the mostvirulent attack on a stone occurs when the plastic containsmany aliphatic groups,"unfortunately, it has been discovered that monomers often makemarble more susceptible to sulphate attack.16 the mostvirulent attack on the stone occurs when the plastic containsmany aliphatic groups"
can you use bariumhydroxide as a coating agent?,gauri reports that partial success inusing polyacrylics and polyurethanes as coating agents hasbeen documented.a traditional agent for strengthening stone is bariumhydroxide
is bariumhydroxide an effective agent for strengthening stone?,"a traditional agent for strengthening stone is bariumhydroxide. again, there is some difficulty with getting thetreatment into the area where it will be effective"
can urea be used in the formation of barium carbonate crystals?,it has beendiscovered that the addition of urea causes the formation ofbarium carbonate crystals which seem to bind the calciteremaining in the strong part of the stone
the documentation of the penetrationachieved is shown in which article?,"excellent examplesof this process and the documentation of the penetrationachieved are shown in the article ""rational of the bariumhydroxideurea treatment of decayed stone"
how to get materials to the right place in 1721 dis assembly?,"""1721 disassemblythe treatment outlined above has two major drawbacks: it isnot easy to get the materials for the treatment into the rightplace, and, once they are there, it is difficult to coax them intoreacting properly"
Is it beneficial to close pores in marble?,"in the long run, it is hard to know whetherit is beneficial to close the pores in marble, thereby setting upa different layer near the surface which may react adverselywith expansion and contraction"
the major task of the objects conservator is the dis assembly of sculpture of all types and,disassembly of marble sculptureone of the major tasks of the objects conservator is the disassembly of sculpture of all types and sizes
the majority of pastrestorations was done using shellac and what other material?,"the majority of pastrestorations was done using shellac and iron pins, and most ofthe shellac repairs are hidden by fill material and paint ofsome sort"
when should a piece be cleaned?,"after it has been cleaned, a piece should beexamined using the various techniques described earlier inorder to ensure a proper approach to the work"
what is the new mode of x raylike information?,"at this point,mention should be made of laser inferometry, a new modeof x raylike information which is becoming a standard tool"
when is the second hologramsof made?,this practice relies on the difference between two hologramsof an object—one made after it has been quickly heated andthe second made after it has been allowed to cool for less thana second
How are the two holograms superimposed?,"the resulting image, when the two holograms aresuperimposed, has the form of the object but is covered by amoiré pattern"
the small wavelike perturbations that can beseen in the image are what,the tiny wavelike perturbations that can beseen in the image are indications of structural discontinuity orweak spots
when is attention given to dissolving the adhesive?,"once the material hiding an old mend is removed, attentioncan be given to dissolving the adhesive"
Isshellac soluble in acetone or alcohol?,"shellac is soluble inacetone or alcohol, and a tiny sample of the adhesive shouldbe tested to find the best solvent for it"
Most plastics will dissolve in what?,"most plastics will dissolve in acetone, while epoxies are usually soluble in chlorinated hydrocarbons"
will polyvinyl acetate emulsion cause it to swell?,"polyvinyl acetate emulsion will swell inrepeated soakings of water and alcohol, making it easier toremove"
how to remove ajoints,"gentle tapping will often facilitate the loosening of ajoint, and patience will allow the pieces to be separatedwithout damage to the delicate edges of the mend"
is it important to proceed slowly when one suspects theinclusion of pins?,"it is particularly important to proceed slowly when one suspects theinclusion of pins, as they are often placed in the joint atdivergent angles"
were the dis assemblyiron clips used in the restoratio nthere?,22 disassemblyiron clips used in  an old restoratio nthere  is an advantage to bein g familia r with the  way in whic hshella c was  applie d in the  past  to broken  stone
the orang eresin wa's heate d to abou t 80 degrees cent,the orang eresin wa s heate d to abou t 80 degrees  centigrade  and smeare dover the surface s while  hot. the two broke n faces  were thenplace d togethe r and allowe d to harden
how to remove excess shellac from an old repair?,"onc e a separatio n hasbeen made  of an old repair , the excess  shellac  can be remove dby dissolvin g it in alcoho l or b y applying  gentl e heat  andbrushing  awa y the  bulk  of the glue"
what do you do with the meta l unti l?,pins and clip s can  befreed by  lightl y heatin g the meta l unti l the resi n can be seen tomelt and then simpl y pullin g them away
were the bee nadde d wedged into the marble?,"some  pins have bee nadde d as press  fits; that is , they were  wedged  into the marble"
if corrosio n has been drilled what is the damage done to the marble?,"if corrosio n has  take n place , they  will have  to be drilled  orground ou t with  as littl e damage  to th e marble  as possible"
screws and clips,iron clips  shape d like giant  staples  have  been use d sinc eancien t times  to mak e joints  of a mechanical  sort
does the wors taspec t have to be leaded in plac e?,the wors taspec t of their  removal  is th e fact that often th e clips hav ebeen leaded  in plac e as well
how to get lea d out o r?,the remova l of the lea d is anarduous  task whic h can be accomplished  eithe r by drillin g thesoft meta l out o r by carefully controlle d heating  until the leadmelts
the degree of heat bein g hard23 disassembl ymodern additions removed from a,"i t is difficult to  accomplis h the latter  metho d withoutdoing  som e damag e to the stone, the degree  of heat  bein g hard23 disassembl ymodern additions removed from a statue and storedto control"
