question,context
Can you use white marble in sculptures?,In restoration supplements of new marble are limited. the decision is always made on the basis of the structural and aesthetic autonomy of the member involved and the integrity of the area being restoredwhite marble has been prized for its use in sculptures since classical times
How many millimeters is the difference between the mass of the marble and the waxy look,"It is 7 to 38 millimeters into the stone before being scattered out, resulting in the characteristic waxy look which brings a lifelike luster to marble sculptures of any kind, which is why many sculptors preferred and still prefer marble for sculpting"
Can you polish a marble?,"Marble is a stone which is composed of calcite, dolomite or serpentine that is capable of taking a polish"
Is marble soft or porous?,"Marble is really a dense granular fossiliferous gray to pink to maroon ordovician limestone, that geologists call the holston formation.Cleaning and prevention the nature of marble is soft and porous, so it is easily stained by colored liquids and scratches easily"
How to prevent sand from contacting the marble surface,Daily maintenance and cleaning is particularly important.
Can I use acid to clean the marble?,"Avoid corroding marble surfaces with alcohol, color and acidic liquids. Cleaning as a floor material, marble is the easiest to scratch"
What is used to clean marble surfaces?,"A mild, phneutral, nonabrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton or rag.salt crystallization crystallization of salts within the pores of stones can generate sufficient stresses to cause the cracking of stone, often into powder fragments"
What is the cause of the crystallization in stones?,This process is considered to be the major cause of stone deterioration in many parts of western europe .Closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts.
What characteristics make a stone more resistant to salt damage?,The resistance of stone to salt damage is dependent on the pore size distribution and decreases as the proportion of fine pores increases 
How crystallization occurs in stone?,"Crystallization damage caused by highly soluble salts, such as sodium chloride and sodium sulfate, is usually manifested by powdering and crumbling of the stone's surface. Less soluble salts such as calcium sulfate form glassy, adherent films which cause spalling of a stone's surface."
With what sources of salt stone can react?,"Limestone can react with sulfur dioxide to ultimately produce calcium sulfate. other sources of salts include ground water , airborne salts , sea spray , chemical cleaners , and deicing salts ."
What accelerates the degradation of the exposed stone?,It has been reported  that the rainwaters in many urban areas are sufficiently acidic to accelerate the weathering of exposed stone
When the water is not acidic it degradates the stone?,"In areas where the rainwater is relatively free from pollutants, the dissolution of most common building stones is usually not a serious problem. Frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage"
Is stone linear susceptible to its porosity?,"frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage. the frost susceptibility of a stone is largely controlled by its porosity and pore size distribution [33,34]"
Are more porous stones for susceptible to frost damage?,The stones with the smallest mean pore size will generally be the most susceptible to frost damage
Is frost damage decreased when the porosity is bigger?,"Frost resistance also generally decreases with increased available porosity, i.e., pore volume which is accessible to water"
Is the saturation coefficient a good metric for frost damage?,"The frost resistance of a stone is often assessed from its saturation coefficient, with stones having saturation coefficients less than 0"
Do all conservators access frost damage to be important?,Some stone conservators  believe that in frost damage is not an important process in the deterioration of stone. They regard frost damage as a secondary process.
Does more cold places are more damaging to stones?,"More severe climates, frost damage may be an important factor in more colder places."
Are microorganisms the most destructive for stone?,"Microbiological growth the attack of stone by a variety of plants and animals has been reported including roots of plants, ivy vines, microorganisms, boring animals, and birds. of these, microorganisms appear to be the most destructive"
Which type of microorganism is most destructive?,"Some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals"
Is the enviroment affecting the microorganisms damage?,It appears that under certain environmental conditions attack by microorganisms can be a serious problem
Where microorganisms usually take place in stone?,Microorganism growth usually takes place in stone which had been partially deteriorated by other processes
Why is human contact an issue in historic structures?,"human contact because of an increasing interest by the public in historic structures, the effects of human contact upon the condition of stone, as well as all other building materials, is of growing concern"
What has become an important maintenance problem for stone floors?,"Stone floors are gradually worn by foot traffic, stones are damaged by people either collecting souvenirs or poking into soft stone."
Does touching the stones damage them and maintenance is harder?,It is conceivable that human contact may become a major problem challenging the ingenuity of both stone conservators and maintenance specialists
the durability of stone structures depends on what?,"original construction the durability of stone structures also depends on factors encountered during their original construction including proper design, good construction practices, and proper selection of materials"
Should metal nails be used in conservation?,Ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework
Which material should be selected first to connect parts together?,"Noncorroding material should be selected, e.g., epoxycoated steel, certain types of stainless steel, or noncorroding nonferrous alloys"
Does air pollution affect stone degradation?,Yes the air pollution is often blamed for stone deterioration and should be attributed to the natural weathering of poor quality stone
Can a stone consolidant make a good quality stone durable?,"It is doubtful that a stone consolidant can make a poor quality stone durable and, as with the above example, stone replacement can be at times the most rational approach"
Are primary performance requirements applicable to all stone consolidants?,Primary performance requirements for stone consolidants are applicable to essentially all stone consolidants regardless of the specific use
With what material should I replace the old one?,"Use materials that are to restore the cohesion, physical properties, and appearance of a deteriorated stone to near its original condition"
What factor is used to determine the durability of the consolidated stone?,"considerations are given in the requirements to the necessary levels of performance of consolidants for consolidation, durability of the consolidated stone, depth of penetration, effect on stone porosity and moisture transfer, computability of consolidant with stone, and effect on appearance"
What we target when consolidating a stone?,Consolidating value the most important function of a stone consolidant is to reestablish cohesion of the particles of deteriorated stone
How many methods have been used to obtain results for the consolidating stone?,"Many methods have been used to obtain a qualitative assessment of the consolidating value of stone consolidants include the measurement of the tensile strength of treated unweathered stone, measurement of surface hardness of treated weathered stone, and the abrasion resistance of treated unweathered stone"
How is a standard deteriorated stone treated?,"A standard deteriorated stone may merely be finely crushed stone, which is then treated with consolidants and its tensile strength measured"
How much more durable a treated stone should gain?,It is reccomended that the compressive strength of a treated weathered stone should be at least 10 percent above that of the untreated and unweathered stone
What may accelerate the decay of unweathered stone?,"Increasing the strength of weathered stone substantially above that of unweathered stone may accelerate the decay of the unweathered stone, unless the complete structure is treated with the consolidant"
Is consolidated stone more or less durable than unweathered stone?,"Durability of consolidated stone the consolidated stone should generally be as durable as the unweathered stone. if the consolidated stone is substantially less durable than unweathered stone, it may be advantageous to replace the deteriorated stone with new stone"
Should treated stone be treated the same or different as the original?,"The treated stone should weather (in terms of appearance) at nearly the same rate as the original stone, to retain, as closely as possible, the authentic appearance of the stone"
Does coating protect the stone forever?,A consolidant should protect a stone but it cannot do it forever it needs replacement per some years.
What  factors access the durability of a consolidated stone?,"durability of a consolidated stone is dependent on several factors, including the durability of the consolidant, compatibility of the consolidant with the weathered stone, properties of the consolidated stone, and the environment"
Does consolidants penetrate stone?,depth of penetration past experience with stone consolidants has shown that their ability to penetrate weathered stone is one of the main factors controlling their performance
Does filling the pores with consolidant helps?,"Superficially penetrating consolidants tend to fill the pores of stone surface layers, thereby reducing the permeability. This may result in the accumulation of moisture and salts behind the treated layers."
Can consolidant reach the porous section of a stone?,A good consolidant should be able to penetrate a weathered porous stone to a depth of at least 25 mm. This should result in a gradual transition in the thermal and mechanical properties from the exterior treated surface to the inner layer of untreated stone
To which extent a consolidant should reach?,The consolidant should penetrate a weathered stone to a depth that all incoherent material is solidified and attached to the sound core of the stone
Which properties of a stone consolidant affects its ability to penetrate a specific stone at a given?,"Properties of a stone consolidant which affects its ability to penetrate a specific stone at a given temperature include its viscosity , surface tension , the rate at which gel or precipitate is formed , method and conditions of application  and rate of evaporation of any solvent "
Is a consolidant that reduces pores but does not close them good?,"The resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase. Therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful."
Is silicone based consolidants better?,Silicone ester consolidants decrease the frost resistance of  stone used as gravestones by increasing the number of small pores
How to measure the consolidant pore sealing affection?,A method which can be used to determine the effects of a stone consolidant on pore size distribution is done by using a mercury porosimeter
How to measure pore sizes?,Both pressurization and depressurization studies should be performed. Pressurization results give an indication of the total open porosity and pore size distribution. Information on the shape and continuity of pores is obtained by depressurization work
Why some consolidants fail?,"Many stone preservatives and stone consolidants have performed poorly because they form a surface film which impedes liquid water migration through the treated stone, but allows water vapor to pass."
What happenes if water evaporates inside the consolidant?,"Water evaporates behind the treated stone leaving deposits of salts. Because water vapor can pass in and out of the stone, the deposited salts may rehydrate and possibly be converted into different crystal forms"
Can larger crystals grow or break apart?,Larger crystals may grow through the dissolution of small crystals and reprecipitation on larger crystals. these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion between stone particles
Does impeding the water vapor affect the stone structure?,Impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock
How large amounts of moisture can be accumulated in stone?,"If a material produces a film which prevents the passage of both water and water vapor, large amounts of moisture could accumulate in a structure"
Is hydrophilic consolidants better?,"A consolidant should be hydrophilic to allow moisture to pass through the treated stone. In addition, the water vapor transmission of treated stone should not be decreased by more than 30 percent compared to untreated stone"
How is water absorption and water vapor permeability measured?,"The water absorption and water vapor permeability of stone, untreated and treated, can be measured by following the procedures of astm c97 and astm c355 respectively"
Does it matter if consolidant is not compatible with the stone material?,Compatibility of consolidant with stone experiences with stone consolidants have demonstrated that they should be compatible with stone to form a durable composite
Does thermal compatibility matters?,Specific compatibility requirements should include the following cured consolidants should have thermal dimensional properties similar to those of stone
What can happen if we use different consolidant that is not thermaly compatible.,"Delamination of the consolidated stone from the untreated stone could occur, especially if the stone is subjected to thermal shock. in addition, the cured consolidant should not become brittle"
What will happen if we use a inorganic consolidant?,"Crystals can be formed from the precipitation of an inorganic consolidant exhibit crystal growth sufficient tensile stresses may be produced to cause the development of microcracks, and ultimately macrocracks in the matrix"
What can replacing a constituent of stone with another of a larger volume cause?,Replacing a constituent of stone with another of a larger molecular volume can cause dilation stresses leading to cracking.
Does hydrofluoric acid reacts with the stone?,"Gydrofluoric acid, depend on their reacting with the constituents of the stone to form insoluble products"
Does conservators agree to the use of gydrofluoric acid?,"Many conservators are opposed to the use of gydrofluoric acid materials because the reaction products usually fill the voids and pores, thereby sealing the surfaces"
Many of the inorganic consolidants are precipitated as a result of the reaction between two,"consolidants should not form byproducts which can be harmful to the stone. many of the inorganic consolidants are precipitated as a result of the reaction between two dissolved salts [1, 16, 50]"
How many inorganic consolidants are precipitated as a result of the reaction between two dissolved,"many of the inorganic consolidants are precipitated as a result of the reaction between two dissolved salts [1, 16, 50]. in addition to the precipitate, at least one soluble salt is formed, much of which is deposited in the stone as the water evaporates"
how can soluble salts damage a stone?,"in addition to the precipitate, at least one soluble salt is formed, much of which is deposited in the stone as the water evaporates. these soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface"
can soluble salts damage a stone?,these soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface.effect on appearance ideally the application of a stone consolidant would not cause any change in the appearance of a stone
Do all inorganic consolidants produce a white deposit within the voids and pores of a,"effect on appearance ideally the application of a stone consolidant would not cause any change in the appearance of a stone. most inorganic consolidants, however, produce a white deposit within the voids and pores of a stone, the color of which may not match the color of the stone"
Organic consolidants can change the reflective properties of what?,"while organic consolidants usually form transparent polymers when cured, they can change the reflective properties of a stone [79]"
How can the optical properties of organic polymers be changed?,"further, the optical properties of organic polymers may gradually change because of their degradation by photochemical processes, oxidation by oxygen and ozone, and attack by air pollutants"
who is responsible for the preservation of a structure?,the permissible extent of change in appearance accompanying the use of a consolidant is probably best dealt with by the conservator responsible for the preservation of a structure
the change in appearance is partially controlled by the interaction between a consolidant and what?,"this is because the extent of the change in appearance is partially controlled by the interactions between a consolidant and a specific stone, and also by the environment"
What should be considered in determining what constitutes a permissible change in appearance?,"furthermore, the location of the deteriorated stone within a structure, the extent of stone deterioration, the nature of the change in appearance, and the importance of a structure should be considered in deciding what constitutes a permissible change in appearance"
the change in appearance of a standard stone specimen should be quantitatively what?,"in laboratory evaluations of the performance of stone consolidants, the change in appearance of a standard stone specimen should be quantitatively determined. the preparation of test specimens, exposure condition and evaluation methods should be standardized"
"the preparation of test specimens, exposure condition and evaluation methods should be standardized what?","the preparation of test specimens, exposure condition and evaluation methods should be standardized. then the results of such a standard test could form the basis for selecting promising materials for specific applications. gauri et al"
gauri et al. developed a laboratory performance test for organic consolidants in which the absorb,gauri et al. [54] developed a laboratory performance test for organic consolidants in which the absorbency of a polymer at 254 mu was compared to that of bisphenola epoxy resin
How many methods can be used to measure the change in appearance of stone?,several methods can be used in the laboratory and in the field to measure the change in appearance of stone caused by consolidating materials
Which methods did sleater use to compare treated and untreated stone specimens?,"in a laboratory evaluation of preservatives, sleater [12] instrumentally compared the color and gloss of treated and untreated stone specimens following the methods given in astm d 2244 [80] and astm d 523 [81]. he also recommended that a visual estimation of color differences be made"
the munsell color system can be used in both laboratory and field to determine what?,he also recommended that a visual estimation of color differences be made. the munsell color system [82] can be used in both the laboratory and field to determine color changes
the munsell color system [82] can be used in both the laboratory and field to,the munsell color system [82] can be used in both the laboratory and field to determine color changes. winkler [83] has developed a promising method to measure rapidly the reflectance of stone using a photographic light meter and reflex camera
Inorganic materials inorganic stone consolidants were extensively used during what century?,winkler [83] has developed a promising method to measure rapidly the reflectance of stone using a photographic light meter and reflex camera.inorganic materials inorganic stone consolidants were extensively used during the l9th century and still are occasionally being used
How do most inorganic consolidants produce a white insoluble phase?,"most inorganic consolidants produce a white insoluble phase within the voids and pores of a stone, either by precipitation of a salt or by chemical reactions with the stone"
the matrix of a stone is similar in composition to the matrix of what?,it has been rationalized that the development of a new phase similar in composition to the matrix of a stone will bind together the particles of deteriorated stone
calcareous stones such as limestone should be consolidated in what phase?,"for example, consolidants which result in the formation of a silica phase should be used to consolidate sandstone, and calcium carbonate or barium carbonate used to consolidate calcareous stones such as limestone"
How much success has been achieved in consolidating stone with inorganic materials?,"in practice, however, little concern is given to chemical compatibility between the consolidants and stone.little success has been achieved in consolidating stone with inorganic materials, and in some cases their use has greatly accelerated stone decay [16, 50, 78]"
What are all the reasons given for the poor performance of inorganic consolidants?,"some of the reasons given for the poor performance of inorganic consolidants are their tendencies to produce shallow and hard crusts [16, 60, 76], the formation of soluble salts as reaction byproducts [1, 16, 60, 86, 87], growth of precipitated crystals [50], and the questionable ability of some of them to bind stone particles together [6, 85]"
What is the most difficult problem to overcome?,"of these, the most difficult problem to overcome is the formation of shallow hard surface layers by inorganic consolidants because of their poor penetration abilities"
What is formed before inorganic chemicals can penetrate the stone?,"precipitation processes are often so rapid that precipitates are formed before the inorganic chemicals can appreciably penetrate the stone. a method, referred to as precipitation from homogeneous solutions, has been developed to obtain deeper penetration of stone by some inorganic consolidants"
 consolidate sandstone and limestone through the formation of silica or insoluble silicates?,this method is discussed in section 4.1.2.siliceous consolidants siliceous consolidants are materials which have been used to consolidate sandstone and limestone through the formation of silica or insoluble silicates
What has been used to conserve and consolidate stone?,"alkali silicates both nonstoichiometric dispersions of silica in sodium hydroxide and soluble alkali silicates have been used to conserve and consolidate stone. when dispersions of silica in sodium hydroxide solutions are applied to a stone. silica is deposited [16, 88]"
"If sodium hydroxide is removed by washing, it can form what?","when dispersions of silica in sodium hydroxide solutions are applied to a stone. silica is deposited [16, 88]. if sodium hydroxide is not removed by washing, it can react with carbon dioxide or sulfur trioxide to form sodium carbonate or sodium sulfate, respectively"
What can sodium hydroxide do to some stones?,"these salts can cause unsightly efflorescence and salt crystallization damage. in addition, it seems that sodium hydroxide can react with the constituent of some stones, thereby accelerating stone deterioration [16]"
How many acids are precipitated by the reaction between sodium silicate and potassium silicate?,"silica can be precipitated by the reaction between sodium silicate, as well as potassium silicate, and acids such as hydrochloric acid and arsenic acid [16, 88, 89]. however, these reactions result in the formation of soluble salts such as sodium chloride and sodium arsenate"
what is formed when calcium carbonate reacts with arsenic acid?,"however, these reactions result in the formation of soluble salts such as sodium chloride and sodium arsenate. if the sodium silicatearsenic acid mixture is used to consolidate limestone, crystalline calcium arsenate can be produced by a reaction between calcium carbonate and arsenic acid"
Which salts precipitated in stone by anisotropic crystal growth?,"the crystalline calcium arsenate appears to damage limestone by anisotropic crystal growth [16].insoluble silicates have been precipitated in stone by alternate treatments of sodium silicate and a variety of salts such as calcium chloride [16, 85, 88, 91] and zinc carbonate [90]"
"Which is produced first, colloidal silicates or soluble salts?","colloidal silicates are first produced which eventually become crystalline [16], while soluble salts are produced as byproducts. impervious surface layers are also produced which trap water beneath [92]"
What do the surface layers of the treated stones do?,"impervious surface layers are also produced which trap water beneath [92]. apparently, the silicates precipitate relatively rapidly so that they are deposited near the surfaces of the treated stones"
how do alkali silicates precipitate?,"apparently, the silicates precipitate relatively rapidly so that they are deposited near the surfaces of the treated stones.even with all the problems associated with the use of alkali silicates, they are still occasionally being applied [5]"
How many problems are there with soluble silicates?,"even with all the problems associated with the use of alkali silicates, they are still occasionally being applied [5]. recently, the successful use of soluble silicates was reported [93]"
What type of silicates should not be used for stone consolidating purposes?,"recently, the successful use of soluble silicates was reported [93]. however, the overwhelming evidence clearly indicates that alkali silicates should not be used for stone consolidating purposes"
why should alkali silicates be used for stone consolidating purposes?,"however, the overwhelming evidence clearly indicates that alkali silicates should not be used for stone consolidating purposes.silicofluorides both hydrofluosilicic acid and soluble silicofluorides have been used to preserve and consolidate stone"
Ishydrofluorosilic acid used on limestone?,"hydrofluorosilic acid should not be used on limestone as it reacts vigorously with calcium carbonate to form crystalline calcium silicofluoride, carbonic acid, and carbonate salts [91]"
Hydrofluorosilic acid reacts slowly with siliceousbased sandstones to form what,"the reaction occurs upon contact of the acid with the limestone producing a shallow crust with little consolidating value. hydrofluorosilic acid reacts more slowly with siliceousbased sandstones to form a cementitious material, but again only the surface is hardened"
Hydrofluorosilic acid reacts slower with siliceousbased sandstones to form what,"hydrofluorosilic acid reacts more slowly with siliceousbased sandstones to form a cementitious material, but again only the surface is hardened. hydrofluorosilic acid has a tendency to discolor both limestones and sandstones, especially if they contain iron [16]"
How many soluble types of silicofluorides have been applied to limestone?,"hydrofluorosilic acid has a tendency to discolor both limestones and sandstones, especially if they contain iron [16].many soluble types of silicofluorides, such as magnesium, zinc, and aluminum, have been applied to limestone"
What are examples of soluble types of silicofluorides?,"many soluble types of silicofluorides, such as magnesium, zinc, and aluminum, have been applied to limestone. resulting products are silica, insoluble fluoride salts and carbon dioxide, which are formed near the surface of the limestone"
Which product is formed near the surface of the limestone?,"resulting products are silica, insoluble fluoride salts and carbon dioxide, which are formed near the surface of the limestone. therefore, only the surface is hardened, which eventually exfoliates [52, 76, 94]"
How many soluble silicofluorides react with calcareous sandstones?,"therefore, only the surface is hardened, which eventually exfoliates [52, 76, 94]. soluble silicofluorides also react with calcareous sandstones and again only a hardened surface is obtained"
 soluble salts are formed when both limestone and calcerous sandstones are treated with what?,"soluble silicofluorides also react with calcareous sandstones and again only a hardened surface is obtained. further, soluble salts are formed when both limestone and calcerous sandstone are treated with silicofluorides [60]"
 soluble salts have caused damage through what process?,"further, soluble salts are formed when both limestone and calcerous sandstone are treated with silicofluorides [60]. these soluble salts have caused damage through salt recrystallization processes [86]"
the soluble salts have caused damage through what process?,these soluble salts have caused damage through salt recrystallization processes [86]. penkala [95] recently carried out a systematic study of several stone treatments and also found that fluorosilicates were not effective consolidators
For how long have aqueous solutions of calcium hydroxide been used?,calcium hydroxide aqueous solutions of calcium hydroxide (its saturated solution is often called limewater) have been used for many centuries to protect and consolidate limestone [96]
calcium hydroxide reacts with atmospheric carbon dioxide to form what?,"calcium hydroxide itself does not appear to consolidate stone, but when in solution or a wet state it reacts with atmospheric carbon dioxide to form insoluble calcium carbonate, which may bind particles of calcareous stones together"
What is the solubility of calcium hydroxide?,"the solubility of calcium hydroxide is only about 1 gram per liter at room temperature [97], therefore repeated applications are necessary to produce sufficient calcium carbonate to consolidate stone"
where is calcium hydroxide deposited near the surface of a stone?,"furthermore, unless very dilute solutions are used, only the calcium hydroxide deposited near the surface of a stone is carbonated. this happens if the dense calcium carbonate being formed at the surface fills the pores and voids in the stone"
what is formed at the surface of a stone?,this happens if the dense calcium carbonate being formed at the surface fills the pores and voids in the stone. this severely impedes the migration of carbon dioxide through the treated surface to the interior of the stone
the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous,this severely impedes the migration of carbon dioxide through the treated surface to the interior of the stone.the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous stone
is calcium carbonate soluble or unstable?,"the newly produced calcium carbonate is susceptible to the same deterioration processes as the calcareous stone. for example, it can react with sulfur trioxide to form calcium sulfate, which is relatively soluble compared to calcium carbonate"
Is calcium carbonate soluble or soluble?,"for example, it can react with sulfur trioxide to form calcium sulfate, which is relatively soluble compared to calcium carbonate. therefore, the treated stone may not be protected against further weathering"
What can be protected against further weathering?,"therefore, the treated stone may not be protected against further weathering. however, the treated stone may eventually gain the authentic appearance of the weathering stone.conflicting opinions have been given of the effectiveness of the calcium hydroxide process"
How many conservators have recommended the use of lime water to protect limestone from weathering and,"some conservators [8, 16] have felt that while treatment with calcium hydroxide causes no harm, little permanent consolidation is obtained, while others [50, 96, 98, 99] have recommended the use of lime water to protect limestone from weathering and to consolidate them"
Who is studying the effectiveness of freshly prepared slaked lime?,"the effectiveness of freshly prepared slaked lime (calcium oxide mixed with water) in consolidating statues at the wells cathedral in england is being investigated by professor baker [100]. he is applying 38 mm thick layers of slaked lime to statues, which are being removed several weeks later"
are the layers of slaked lime being removed?,"he is applying 38 mm thick layers of slaked lime to statues, which are being removed several weeks later. some consolidation appears to be occurring"
can limewater and slaked lime treatment slowly consolidate limestone?,"some consolidation appears to be occurring.apparently, repeated limewater and slaked lime treatment can gradually consolidate limestone, but such processes are only economically feasible for small objects"
Will strontium and barium hydroxides react with carbon dioxide to form insoluble,"strontium and barium hydroxides similar to calcium hydroxide, strontium and barium hydroxides will react with carbon dioxide to form insoluble carbonates. again, only the hydroxide near surface of a stone is usually carbonated"
Is the hydroxide near surface of a stone carbonated or carbonated?,"again, only the hydroxide near surface of a stone is usually carbonated. however, unlike calcium sulfate, strontium and barium sulfates are insoluble and thus the application of strontium and barium hydroxides may reduce the weathering of stone exposed to polluted environments"
Who performed the first work on the use of barium hydroxide to conserve stone?,"the early work on the use of barium hydroxide to conserve stone was performed by church [101103]. initially, excellent results were obtained. however, only a surface hardening was being obtained and eventually the barium carbonate or barium sulfate layer exfoliated [16, 50, 76, 92]"
the exfoliation problem has been attributed to the formation of a dense impervious surface layer,"the exfoliation problem has been attributed not only to the formation of a dense impervious surface layer, but also to anisotropic crystal growth of barium carbonate and barium sulfate [16, 50]"
the methods of precipitate barium carbonate and barium sulfate deeply within a stone,lewin [104] and sayre [105] have developed methods intended to precipitate barium carbonate and barium sulfate deeply within a stone. these methods are based on a process known as precipitation from homogeneous solution [106]
p precipitation from homogeneous solution is based on a process called what?,these methods are based on a process known as precipitation from homogeneous solution [106]. in this process the material to be precipitated and the precipitating chemicals are present in the same solution
is barium carbonate precipitated from aqueous solution of urea and urea,"in this process the material to be precipitated and the precipitating chemicals are present in the same solution. for example, barium carbonate is precipitated from an aqueous solution of barium hydroxide and urea [104, 108]. the urea slowly undergoes hydrolysis producing ammonia and carbon dioxide"
the urea slowly undergoes hydrolysis producing what?,the urea slowly undergoes hydrolysis producing ammonia and carbon dioxide. the liberated ammonia and carbon dioxide dissolves in the water forming ammonium carbonate which raises the ph of the solution
