passages,questions
the chemical reaction below shows a typical process using magnesium fluorosilicate (mgsif6) and hydrochloric acid (hcl) taking place.caco3(s) + mgsif6(l) + 2hcl (l) → mgcl2(s) + casif6(s) + co2(g) + h2o(l)the resulting calcium hexafluorosilicate (casif6) is bonded to the surface of the marble,calcium hexafluorosilicate is bonded to the surface of what?
"this is harder, more glossy and stain resistant compared to the original surface.the other often used method of finishing marble is the use of polishing with oxalic acid (h2c2o4), an organic acid. the resulting reaction is as follows",what is an organic acid used to finish marble?
the resulting reaction is as follows.caco3(s) + h2c2o4(l) → cac2o4(s) + co2(g) + h2o(l) in this case the calcium oxalate (cac2o4) formed in the reaction is washed away with the slurry leaving a surface that has not been chemically changed,what is formed in the reaction of calcium oxalate (cac2o4)
microbial degradation the haloalkaliphilic methylotrophic bacterium methylophaga murata was isolated from deteriorating marble in the kremlin,microbial degradation the haloalkaliphilic methylotrophic bacterium methylophaga
"bacterial and fungal degradation was detected in four samples of marble from milan cathedral; black cladosporium attacked dried acrylic resin[13] using melanin. marble is a rock composed of calcium and magnesium carbonate, mostly white and pink",What was detected in four samples of marble from milan cathedral?
"marble is a rock composed of calcium and magnesium carbonate, mostly white and pink.[1] common marble varieties are granular limestone or dolomite",is calcium carbonate the same as magnesium carbonate?
"the hardness of marble is very high, because the internal structure of the rock is very uniform after long term natural aging, and the internal stress disappears, so the marble will not be deformed due to temperature, and has strong wear resistance. it is a very popular building material",Is the hardness of marble high or low?
it is a very popular building material.the perfection of ancient building technique assured the strong resistance of the monuments to natural forces for a long time,the perfection of ancient building technique assured the strong resistance of monuments to what?
"the perfection of ancient building technique assured the strong resistance of the monuments to natural forces for a long time. yet, in many cases, human activity upset the balance of the ancient construction, leaving the monument more susceptible to damage by the forces of nature",the perfection of ancient building technique assured the strong resistance of monuments to what?
"it is notable, however, that most of the damage that we are obliged to confront today does not originate in the action of the elements but in the interference of man. moreover, the damage caused by rescue or restoration interventions of the recent past is extensive",Most of the damage we are obliged to confront today does not originate in the action of what
"moreover, the damage caused by rescue or restoration interventions of the recent past is extensive. the failure of these interventions lies mainly in the use of ordinary iron for joining fragments of architectural members or for increasing the durability of others",what is an example of a failure of rescue or restoration?
"most of the damage suffered by the monuments and now being confronted in the framework of the contemporary interventions falls into the following categories:mechanical this includes damage wrought by earthquakes, explosions, bombardments, fires, freezing, and by the swelling of rusting iron reinforcements used in the interventions of the recent past",Most of the damage suffered by the monuments is classified as what?
"chemical this comprises forms of erosion suffered by the marble mainly as a result of acid rain. a serious problem connected with atmospheric pollution concerns the various accretions and deposits in the form of powder, carbon (black soot) and metal rust",What is the main cause of the erosion of marble?
"biological these are forms of corrosion caused by lichens, moulds, bird droppings, plant roots and their discharges.a general principle of the works is to carry them out on the basis of decisions taken as objectively as possible, with transparency in all phases",what is the general principle of the works?
"these goals are achieved primarily by means of an interdisciplinary approach to the interventions during the phases of study and application, the publication of general and specialized studies for the restoration of the monuments prior to the actual interventions, their submission as top level studies to a procedure of multiple assessment and then the final publication of the works",How are the goals achieved?
"the international conferences of specialists held at regular intervals for exchange of opinion about the various proposals for interventions on the monuments and other special subjects, comprise a particularly important feature of the works",the international conferences of specialists held at regular intervals for exchange of opinion about the various proposals for
"the interventions, in themselves, are conducted in the spirit of the venice charter (1964), the internationally accepted framework of principles codifying the requirements for the restoration of monuments",What is the venice charter?
"the following principles were formulated particularly for the monuments of ancient greek architecture, and stem from the actual building system of the monuments of the classical period.the principle of reversibility of the interventions",the principle of reversibility of the intervention in greek architecture is the principle of what?
"the principle of reversibility of the interventions. this means the possibility of returning the monument to its condition prior to the intervention.respect for the authentic material, retention of the structural autonomy of the architectural members and their original structural function",the principle of reversibility of the intervention is called what?
"compliance with the above theoretical principles leads to specific choices in planning structural interventions on the acropolis monuments, which can be summarized as follows:interventions are restricted to those parts of the monuments that have been damaged in earlier restorations or show structural deficiencies",What leads to specific choices in planning structural interventions on acropolis monuments?
the materials used in restoration must be harmless and compatible with the authentic materials,the materials used in restoration must be what?
"for joining fragments, the titanium rods required by the structural study, should be used as sparingly as possible and the holes for titanium reinforcements be as few as possible, so as to avoid damaging the ancient material",How to prevent damaging the ancient material?
"to the extent possible, the existing ancient cuttings are used for joining the members. the basic criterion for calculating the reinforcements is that in a near limit situation the reinforcements should fail rather than the ancient material",in a near limit situation the reinforcements should fail rather than what?
"in the joining of ancient fragments, only pieces that come from the same architectural member are joined together.in restoration supplements of new marble are limited","in addition to the joining of ancient fragments, only pieces that come from the same architectural member"
in restoration supplements of new marble are limited. the decision is always made on the basis of the structural and aesthetic autonomy of the member involved and the integrity of the area being restoredwhite marble has been prized for its use in sculptures since classical times,can you use white marble in sculptures?
"this preference has to do with its softness, which made it easier to carve, relative isotropy and homogeneity, and a relative resistance to shattering. also, the low index of refraction of calcite allows light to penetrate 12",the high index of refraction of what allows light to penetrate 12?
"7 to 38 millimeters into the stone before being scattered out, resulting in the characteristic waxy look which brings a lifelike luster to marble sculptures of any kind, which is why many sculptors preferred and still prefer marble for sculpting",How many millimeters is the difference between the mass of the marble and the waxy look
"construction marble is a stone which is composed of calcite, dolomite or serpentine that is capable of taking a polish",can you polish a marble?
"more generally in construction, specifically the dimension stone trade, the term marble is used for any crystalline calcitic rock (and some non calcitic rocks) useful as building stone",can you use the term marble for any crystalline rock?
"for example, tennessee marble is really a dense granular fossiliferous gray to pink to maroon ordovician limestone, that geologists call the holston formation.cleaning and prevention the nature of marble is soft and porous, so it is easily stained by colored liquids and scratches easily",Is tennessee marble soft or porous?
"cleaning and prevention the nature of marble is soft and porous, so it is easily stained by colored liquids and scratches easily. so daily maintenance and cleaning is particularly important.prevention prevent sand and dust from contacting the marble surface",how to prevent sand from contacting the marble surface
"so daily maintenance and cleaning is particularly important.prevention prevent sand and dust from contacting the marble surface. avoid corroding marble surfaces with alcohol, color and acidic liquids.cleaning as a floor material, marble is the easiest to scratch",how to clean a marble floor?
"avoid corroding marble surfaces with alcohol, color and acidic liquids.cleaning as a floor material, marble is the easiest to scratch. you can first use a vacuum cleaner to suck away the grit and dust on the marble floor, and then use a steam cleaner to remove other dirt",how to clean a marble floor
"you can first use a vacuum cleaner to suck away the grit and dust on the marble floor, and then use a steam cleaner to remove other dirt.a mild, ph neutral, non abrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton or rag",how to clean marble floors
"a mild, ph neutral, non abrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton or rag.salt crystallization crystallization of salts within the pores of stones can generate sufficient stresses to cause the cracking of stone, often into powder fragments",how to clean marble surfaces?
this process is considered to be the major cause of stone deterioration in many parts of western europe [24 26]. closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts [14],the crystallization of salt is caused by salt hydration and by differential thermal expansion of salts
closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts [14]. the resistance of stone to salt damage is dependent on the pore size distribution and decreases as the proportion of fine pores increases [11],the resistance of stone to salt damage is dependent on what?
"crystallization damage caused by highly soluble salts, such as sodium chloride and sodium sulfate, is usually manifested by powdering and crumbling of the stone's surface [11]. less soluble salts such as calcium sulfate form glassy, adherent films which cause spalling of a stone's surface [16]","Which is a less soluble salts, calcium sulfate or sodium chloride?"
"less soluble salts such as calcium sulfate form glassy, adherent films which cause spalling of a stone's surface [16].a major source of salts in urban environments is the reaction between air pollutants and stone",the reaction between air pollutants and stone is called what?
"a major source of salts in urban environments is the reaction between air pollutants and stone. for example, limestone can react with sulfur dioxide to ultimately produce calcium sulfate",What is a major source of salts in urban environments?
"for example, limestone can react with sulfur dioxide to ultimately produce calcium sulfate. other sources of salts include ground water [27], airborne salts [27], sea spray [28], chemical cleaners [29], and deicing salts [30].aqueous dissolution carbonate sedimentary stones e.g","Which is a source of calcium sulfate, ground water or sea spray?"
"aqueous dissolution carbonate sedimentary stones e.g., limestone and dolostone), carbonate cemented sandstone, and marbles are types of stone that are susceptible to dissolution by water acidified with dissolved carbon dioxide, sulfur dioxide, and nitrogen oxides [31]",is carbonate cemented sandstone a sedimentary stone or a metamorphic stone?
"it has been reported [32, 51] that the rainwaters in many urban areas in the united states and europe are sufficiently acidic to accelerate the weathering of exposed building stone",What is sufficiently acidic to accelerate the weathering of exposed building stone?
"in areas where the rainwater is relatively free from pollutants, the dissolution of most common building stones is usually not a serious problem [30].frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage",Is the dissolution of most common building stones a serious problem or minor problem?
"frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage. the frost susceptibility of a stone is largely controlled by its porosity and pore size distribution [33,34]",What is the pore size distribution of a stone?
"the frost susceptibility of a stone is largely controlled by its porosity and pore size distribution [33,34]. of stones with a given porosity, those with the smallest mean pore size will generally be the most susceptible to frost damage",Which stones are most susceptible to frost damage?
"of stones with a given porosity, those with the smallest mean pore size will generally be the most susceptible to frost damage. frost resistance also generally decreases with increased available porosity [15], i.e., pore volume which is accessible to water",Will pore volume increase or decrease with increased available porosity?
"frost resistance also generally decreases with increased available porosity [15], i.e., pore volume which is accessible to water. the frost resistance of a stone is often assessed from its saturation coefficient,(2) with stones having saturation coefficients less than 0",What is the saturation coefficient of a stone?
"the frost resistance of a stone is often assessed from its saturation coefficient,(2) with stones having saturation coefficients less than 0.8 being generally immune to frost damage [35]",What is the saturation coefficient of a stone?
"8 being generally immune to frost damage [35].some european stone conservators [11,26] believe that in their countries frost damage is not an important process in the deterioration of stone. they regard frost damage as a secondary process, e.g",Some european stone conservators regard frost damage as what?
"they regard frost damage as a secondary process, e.g., frost damage may be responsible for the final fragmentation of stone damaged by other processes, such as salt crystallization",is salt crystallization a secondary or secondary process?
"however, because of the use of possibly more frost susceptible stone and more severe climates, frost damage may be an important factor in the northern part of the united states [36,37]",What is an important factor in the northern part of the united states?
"microbiological growth the attack of stone by a variety of plants and animals has been reported [14] including roots of plants, ivy vines, microorganisms, boring animals, and birds. of these, microorganisms appear to be the most destructive",Which microorganism is the most destructive?
"of these, microorganisms appear to be the most destructive. some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals [14, 38]",Which type of microorganism is most destructive?
"some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals [14, 38]. it appears that under certain environmental conditions attack by microorganisms can be a serious problem [39 41]","How many types of bacteria, fungi, algae, and lichens are there?"
"however, it seems that many conservators feel that such instances are uncommon and that microorganism growth usually takes place in stone which had been partially deteriorated by other processes",What type of growth usually takes place in stone?
"human contact because of an increasing interest by the public in historic structures, the effects of human contact upon the condition of stone, as well as all other building materials, is of growing concern",Why is human contact an issue in historic structures?
"for example, stone floors are gradually worn by foot traffic, stones are damaged by people either collecting souvenirs or poking into soft stone [28], and graffiti removal has become an important maintenance problem [42 48]",What has become an important maintenance problem for stone floors?
it is conceivable that human contact may become a major problem challenging the ingenuity of both stone conservators and maintenance specialists,What is a major problem for both stone conservators and maintenance specialists?
"original construction the durability of stone structures also depends on factors encountered during their original construction including proper design, good construction practices, and proper selection of materials",the durability of stone structures depends on what?
"unfortunately, these are factors over which the preservation scientist has no control. however, the same mistakes should not be repeated in repairing or restoring historic structures. for example, normal steel and cast iron anchors, dowels, reinforcing rods, etc",Should the same mistakes be repeated in restoring historic structures?
"for example, normal steel and cast iron anchors, dowels, reinforcing rods, etc., were often used in the construction or repair of stone structures. certain ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework [11]","Along with reinforce rods and dowels, what type of anchors were often used in the construction"
"certain ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework [11]. therefore, noncorroding material should be selected, e.g., epoxy coated steel [44], certain types of stainless steel [45], or non corroding non ferrous alloys [11]",Which material is least likely to lead to the cracking of stonework?
"g., epoxy coated steel [44], certain types of stainless steel [45], or non corroding non ferrous alloys [11].a large portion of stone durability problems are the consequence of using poor quality stone in the original construction",what is a consequence of using poor quality stone in the original construction?
"riederer has suggested [46, 47] that air pollution is often blamed for stone deterioration in germany which actually should be attributed to the natural weathering of poor quality stone",Who suggested that air pollution is blamed for stone deterioration in germany?
"the use of poor quality sandstone in completing the cathedral of cologne [48,49] is presenting acute conservation problems",The use of what kind of sandstone is presenting acute conservation problems in the cathedral of c
"in another example, a poor quality dolomite limestone was used in the construction of the british houses of parliament [50] which eventually had to be replaced with a more durable limestone [15]",Which type of limestone was used to build the british houses of parliament?
"it is doubtful that a stone consolidant can make a poor quality stone durable and, as with the above example, stone replacement can be at times the most rational approach [52]",can a stone consolidant make a good quality stone durable?
primary performance requirements primary performance requirements for stone consolidants are applicable to essentially all stone consolidants regardless of the specific use,are primary performance requirements applicable to all stone consolidants?
"these requirements are based on the premise that the main functions of such materials are to restore the cohesion, physical properties, and appearance of a deteriorated stone to near its original condition",what are the main functions of building materials?
"considerations are given in the requirements to the necessary levels of performance of consolidants for consolidation, durability of the consolidated stone, depth of penetration, effect on stone porosity and moisture transfer, computability of consolidant with stone, and effect on appearance",What factor is used to determine the durability of the consolidated stone?
these performance considerations could become the basis for stone consolidant specifications.consolidating value the most important function of a stone consolidant is to re establish cohesion of the particles of deteriorated stone [1 4],what is the most important function of a stone consolidant?
"methods which have been used to obtain a qualitative assessment of the consolidating value of stone consolidants include the measurement of the tensile strength of treated unweathered stone [25, 53], measurement of surface hardness of treated weathered stone [54,55], and the abrasion resistance of treated unweathered stone [56]",How many methods have been used to obtain a qualitative assessment of the consolidating value of stone
"a more quantitative test needs to be developed, which incorporates the testing of standard deteriorated stone. a standard deteriorated stone may merely be finely crushed stone, which is then treated with consolidants and its tensile strength measured",How is a standard deteriorated stone treated?
"a standard deteriorated stone may merely be finely crushed stone, which is then treated with consolidants and its tensile strength measured. the tensile strength of the treated crushed stone could be compared to the strength of the original stone",What is treated with consolidants and tensile strength?
the tensile strength of the treated crushed stone could be compared to the strength of the original stone.only one recommendation was found in this review for what constitutes an acceptable performance level for consolidation value,the tensile strength of the treated crushed stone could be compared to the strength of what?
only one recommendation was found in this review for what constitutes an acceptable performance level for consolidation value. gauri has recommended [54] that the compressive strength of a treated weathered stone should be at least 10 percent above that of the untreated and unweathered stone,the compressive strength of treated weathered stone should be what?
"however, increasing the strength of weathered stone substantially above that of unweathered stone may accelerate the decay of the unweathered stone [68], unless the complete structure is treated with the consolidant",What may accelerate the decay of unweathered stone?
"durability of consolidated stone the consolidated stone should generally be as durable as the unweathered stone. if the consolidated stone is substantially less durable than unweathered stone, it may be advantageous to replace the deteriorated stone with new stone",is consolidated stone more or less durable than unweathered stone?
"in addition, treated stone should weather (in terms of appearance) at nearly the same rate as the original stone, to retain, as closely as possible, the authentic appearance of the stone",Should treated stone be treated the same or different as the original?
torraca [l] has suggested that it is not justified to demand that a consolidant should protect a stone forever from any environment,Who suggested that it is not justified to demand that a consolidant should protect a stone forever
"durability of a consolidated stone is dependent on several factors, including the durability of the consolidant, compatibility of the consolidant with the weathered stone, properties of the consolidated stone, and the environment",what is a factor in determining durability of a consolidated stone?
the complex interaction among these factors makes the development of appropriate accelerated durability tests difficult. a methodology is given in astm e 632 [69] which can be useful in the design and development of rational accelerated durability tests for consolidants,the complex interaction among these factors makes the development of what kind of durability tests difficult?
"depth of penetration past experience with stone consolidants has shown that their ability to penetrate weathered stone is one of the main factors controlling their performance [3, 16, 25, 57 60]",What is one of the main factors controlling their performance?
"superficially penetrating consolidants tend to fill the pores of stone surface layers, thereby reducing the permeability. this may result in the accumulation of moisture and salts behind the treated layers [58, 61]",superficially penetrating consolidants tend to fill the pores of what?
"this may result in the accumulation of moisture and salts behind the treated layers [58, 61]. furthermore, interfacial delamination often occurs because of a marked difference in the thermal properties of the treated and untreated stone [10, 11, 58]", interfacial delamination often occurs because of a marked difference in what properties of the treated and
price has suggested [58] that a good consolidant should be able to penetrate a weathered porous stone to a depth of at least 25 mm. this should result in a gradual transition in the thermal and mechanical properties from the exterior treated surface to the inner layer of untreated stone,What should be able to penetrate a weathered porous stone to a depth of at least 25
a slightly different requirement has been given by torraca [1]. he proposed that a stone consolidant should penetrate a weathered stone to a depth that all incoherent material is solidified and attached to the sound core of the stone,what should be penetrate a weathered stone to a depth that all incoherent material is solid
"properties of a stone consolidant which affects its ability to penetrate a specific stone at a given temperature include its viscosity [57, 59, 61], surface tension [59], the rate at which gel or precipitate is formed [16], method and conditions of application [2, 63], and rate of evaporation of any solvent [66]",Which property of a stone consolidant affects its ability to penetrate a specific stone at a given
"tammes and vos [67] developed the following relation for the horizontal transport of liquid through porous materials;stone porosity as previously mentioned, the porosity and pore size distribution of a stone can have a major effect on its durability",Which two groups developed the following relation for the horizontal transport of liquid through porous materials?
"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful",A stone consolidant that doesn't close large pores but does close them may be what?
"therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful. for example, dukes [2] found that silicone ester consolidants decreased the frost resistance of portland stone used as gravestones by increasing the number of small pores",how do you reduce frost resistance of portland stone used as gravestone?
"a method which can be used to determine the effects of a stone consolidant on pore size distribution was described by clifton et al. [70]. in their work, the pore size distributions of both impregnated and unimpregnated hardened cement pastes were measured using a mercury porosimeter",How were the pore size distributions measured?
"in their work, the pore size distributions of both impregnated and unimpregnated hardened cement pastes were measured using a mercury porosimeter. both pressurization and depressurization studies were performed",How were the pore size distributions measured?
both pressurization and depressurization studies were performed. pressurization results give an indication of the total open porosity and pore size distribution. information on the shape and continuity of pores is obtained by depressurization work,how is pore size distribution obtained?
information on the shape and continuity of pores is obtained by depressurization work. pressurization studies on stone have been performed by biscontin and pavan [71] and by alessandrini et al. [72],How is information on the shape and continuity of pores obtained?
"[72].moisture transfer many stone preservatives and stone consolidants have performed poorly because they form a surface film which impedes liquid water migration through the treated stone, but allows water vapor to pass",Why have stone consolidants performed well?
"this can lead to a situation where water evaporates behind the treated stone leaving deposits of salts [59, 61]. because water vapor can pass in and out of the stone, the deposited salts may rehydrate and possibly be converted into different crystal forms",where does water evaporate behind a treated stone leaving deposits of salts?
"because water vapor can pass in and out of the stone, the deposited salts may rehydrate and possibly be converted into different crystal forms. further, larger crystals may grow through the dissolution of small crystals and reprecipitation on larger crystals",can larger crystals grow through the dissolution of small crystals and reprecipitation on larger crystals
"further, larger crystals may grow through the dissolution of small crystals and reprecipitation on larger crystals. these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion between stone particles [14]",can larger crystals grow or break apart?
"these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion between stone particles [14]. further, impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock",the disruption of the microstructure of the stone and breakdown of cohesion between stone particles is
"further, impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock.if a material produces a film which prevents the passage of both water and water vapor, large amounts of moisture could accumulate in a structure","if a material produces a film which prevents the passage of both water and water vapor, what"
"in addition to decreasing the resistance of the stone to frost damage, excess moisture in a structure could cause the rotting of wood, corrosion of metals, and degradation of plaster and roofing materials",can moisture in a structure cause the rotting of wood or corrosion of metals?
"munnikendam has suggested [73] that a consolidant should be hydrophilic to allow moisture to pass through the treated stone. in addition, he suggested that the water vapor transmission of treated stone should not be decreased by more than 30 percent compared to untreated stone",What should be hydrophobic to allow moisture to pass through the treated stone?
"the water absorption and water vapor permeability of stone, untreated and treated, can be measured by following the procedures of astm c97 [74] and astm c355 [75], respectively",How is water absorption and water vapor permeability measured?
"compatibility of consolidant with stone experiences with stone consolidants have demonstrated [16, 61] that they should be compatible with stone to form a durable composite",what should be compatible with stone to form a durable composite?
"specific compatibility requirements should include the following:cured consolidants should have thermal dimensional properties similar to those of sound stone [16, 73]",What should have thermal dimensional properties similar to those of sound stone?
"otherwise, delamination of the consolidated stone from the untreated stone could occur [76], especially if the stone is subjected to thermal shock. in addition, the cured consolidant should not become brittle [16, 76, 77]","If the treated stone is subjected to thermal shock, would delamination of the consolidated stone occur"
"in addition, the cured consolidant should not become brittle [16, 76, 77].the consolidant should not severely disrupt the microstructure of the stone [16]","the cured consolidant should not become brittle [16, 76, 77]"
"for example, if the crystals formed from the precipitation of an inorganic consolidant exhibit crystal growth sufficient tensile stresses may be produced to cause the development of microcracks, and ultimately macrocracks in the matrix",If the crystals formed from the precipitation of an inorganic consolidant exhibit crystal growth sufficient tens
"further, marsh [50] pointed out that replacing a constituent of stone with another of a larger molecular volume can cause dilation stresses leading to cracking. the effects of a few inorganic consolidants, e.g",What can replacing a constituent of stone with another of a larger volume cause?
"the effects of a few inorganic consolidants, e.g., hydrofluoric acid, depend on their reacting with the constituents of the stone to form insoluble products",Hydrofluoric acid reacts with the constituents of what to form insoluble products?
"g., hydrofluoric acid, depend on their reacting with the constituents of the stone to form insoluble products. many conservators [5, 16, 76, 78] are opposed to the use of such materials because the reaction products usually fill the voids and pores, thereby sealing the surfaces",How many conservators are opposed to using hydrofluoric acid?
"consolidants should not form by products which can be harmful to the stone. many of the inorganic consolidants are precipitated as a result of the reaction between two dissolved salts [1, 16, 50]",What can be harmful to the stone?
"many of the inorganic consolidants are precipitated as a result of the reaction between two dissolved salts [1, 16, 50]. in addition to the precipitate, at least one soluble salt is formed, much of which is deposited in the stone as the water evaporates",How many inorganic consolidants are precipitated as a result of the reaction between two dissolved
"in addition to the precipitate, at least one soluble salt is formed, much of which is deposited in the stone as the water evaporates. these soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface",how can soluble salts damage a stone?
these soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface.effect on appearance ideally the application of a stone consolidant would not cause any change in the appearance of a stone,can soluble salts damage a stone?
"effect on appearance ideally the application of a stone consolidant would not cause any change in the appearance of a stone. most inorganic consolidants, however, produce a white deposit within the voids and pores of a stone, the color of which may not match the color of the stone",Do all inorganic consolidants produce a white deposit within the voids and pores of a
"while organic consolidants usually form transparent polymers when cured, they can change the reflective properties of a stone [79]",Organic consolidants can change the reflective properties of what?
"further, the optical properties of organic polymers may gradually change because of their degradation by photochemical processes, oxidation by oxygen and ozone, and attack by air pollutants",How can the optical properties of organic polymers be changed?
