instruction,context,response
Why exposed marble surface monuments need to be coated?,the surfaces of the monuments that remain exposed to air pollution have to be coated by a protective material that will inhibit the sulphation process and protect the surface as well as the conservation intervention materials meeting the requirements for reversibility and compatibility with the original marble,To inhibit the sulphation process and protect the marble surface.
What are the n semiconductors?,"after a long research project, conducted in the laboratory of material science and engineering by prof. t. skoulikidis, a material based on n semiconductors was advanced. these are metal oxides that acquire semiconducting properties when prepared electrolytically",Metal oxides that acquire semiconducting properties when prepared electrolytically.
The action of aluminum oxide is based on what?,"these are metal oxides that acquire semiconducting properties when prepared electrolytically. their action is based on the inhibition of sulphation. among many such oxides tested, the aluminum oxide with a reversible polymer body proved to be the most effective",Is based on the inhibition of sulphation.
Which oxide proved to be the most effective?,"these are metal oxides that acquire semiconducting properties when prepared electrolytically. their action is based on the inhibition of sulphation. among many such oxides tested, the aluminum oxide with a reversible polymer body proved to be the most effective",The aluminum oxide with a reversible polymer body proved to be the most effective.
What is the composition of a component with the properties of n semiconductor?,"the composition of the material is a methyl methacrylate body in toluene 10% with the addition of electrolytically prepared aluminum oxide (al2o3), which is the component with the properties of n semiconductor",Methyl methacrylate body in toluene 10% with the addition of electrolytically prepared aluminum oxide (al2o3).
What the n semiconductors protect from?,"the n semiconductor, beyond the protection of the marble, protects the body from uv radiation and aging. this material has been applied on a column of the propylaea and an inscription on the plateau of the acropolis",It protects the marble and the body from uv radiation and aging.
What artificial patina is used?,"this material has been applied on a column of the propylaea and an inscription on the plateau of the acropolis.artificial patina to reduce the color contrast of the new marble complements, an artificial patina can be applied on selected occasions",Artificial patina is used to reduce the color contrast of the new marble complements.
How marble is made?,"marble is a metamorphic rock consisting of carbonate minerals that recrystallize under the influence of heat, pressure and aqueous solutions, most commonly calcite (caco3) or dolomite (camg(co3)2) and has a crystalline texture of varying thickness","Marble is a metamorphic rock consisting of carbonate minerals that recrystallize under the influence of heat, pressure and aqueous solutions."
Where marble is used?,"marble is typically not foliated (layered), although there are exceptions.in geology, the term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone. marble is commonly used for sculpture and as a building material",Marble is commonly used for sculpture and as a building material.
Is marble the same as limestone?,"marble is typically not foliated (layered), although there are exceptions.in geology, the term marble refers to metamorphosed limestone, but its use in stonemasonry more broadly encompasses unmetamorphosed limestone. marble is commonly used for sculpture and as a building material",It is metamorphosed limestone.
Where marble comes from?,"marble is commonly used for sculpture and as a building material.marble is a rock resulting from metamorphism of sedimentary carbonate rocks, most commonly limestone or dolomite (rock). metamorphism causes variable recrystallization of the original carbonate mineral grains","Marble is a rock resulting from metamorphism of sedimentary carbonate rocks, most commonly limestone or dolomite (rock)."
What causes variable recrystallization of carbonate mineral grains?,metamorphism causes variable recrystallization of the original carbonate mineral grains. the resulting marble rock is typically composed of an interlocking mosaic of carbonate crystals,Metamorphism causes variable recrystallization of the original carbonate mineral grains.
From where pure white marble originates?,primary sedimentary textures and structures of the original carbonate rock (protolith) have typically been modified or destroyed.pure white marble is the result of metamorphism of a very pure (silicate poor) limestone or dolomite protolith,Pure white marble is the result of metamorphism of a very pure (silicate poor) limestone or dolomite protolith.
What are some of the minerals that are present in the marble?,"the characteristic swirls and veins of many colored marble varieties are usually due to various mineral impurities such as clay, silt, sand, iron oxides, or chert which were originally present as grains or layers in the limestone","Various mineral such as clay, silt, sand, iron oxides, or chert."
Why there are swirls and veins on colored marble?,"the characteristic swirls and veins of many colored marble varieties are usually due to various mineral impurities such as clay, silt, sand, iron oxides, or chert which were originally present as grains or layers in the limestone",Due to various mineral impurities.
What is the cause of the green coloration?,green coloration is often due to serpentine resulting from originally magnesium rich limestone or dolomite with silica impurities. these various impurities have been mobilized and recrystallized by the intense pressure and heat of the metamorphism,Green coloration is often due to serpentine resulting from originally magnesium rich limestone or dolomite with silica impurities.
Is acid rain bad for marble?,,Yes it is.
Is acid rain harmful for marble?,,Yes it is harmful.
Is acid rain good for marble?,,No it is not.
What causes marble to be damaged by acid rain?,"degradation by acids acids react with the calcium carbonate in marble, producing carbonic acid (which decomposes quickly to co2 and h2o) and other soluble salts : caco3(s) + 2h+(aq) → ca2+(aq) + co2(g) + h2o (l)outdoor marble statues, gravestones, or other marble structures are damaged by acid rain whether by carbonation, sulfation or the formation of ""black crust"" (accumulation of calcium sulphate, nitrates and carbon particles)","Acids react with the calcium carbonate in marble, producing carbonic acid and other soluble salts resulting in carbonation, sulfation or the formation of ""black crust""."
Are cold temperatures good for the stone?,,No they are not.
What should be avoided in the cleaning of marble?,[10] vinegar and other acidic solutions should be avoided in the cleaning of marble products.crystallization crystallization refers to a method of imparting a glossy more durable finish on to a marble floor (caco3),Vinegar and other acidic solutions should be avoided in the cleaning of marble.
What crystallization on marble means.,crystallization crystallization refers to a method of imparting a glossy more durable finish on to a marble floor (caco3). it involves polishing the surface with an acidic solution and a steel wool pad on a flooring machine,Crystallization refers to a method of imparting a glossy more durable finish on to a marble.
Calcium hexafluorosilicate is bonded to what?,the chemical reaction below shows a typical process using magnesium fluorosilicate (mgsif6) and hydrochloric acid (hcl) taking place.caco3(s) + mgsif6(l) + 2hcl (l) → mgcl2(s) + casif6(s) + co2(g) + h2o(l)the resulting calcium hexafluorosilicate (casif6) is bonded to the surface of the marble,Calcium hexafluorosilicate (casif6) is bonded to the surface of the marble.
What organic acid can b used to finish marble?,"this is harder, more glossy and stain resistant compared to the original surface.the other often used method of finishing marble is the use of polishing with oxalic acid (h2c2o4), an organic acid. the resulting reaction is as follows",The use of polishing with oxalic acid which is an organic acid can be used to polish marble.
Can microbial bacterium damage marble?,,Yes they can.
Is bacterial and fungal bad for marble?,,"Yes they are, they can degrade the marble."
From what marble is composed?,"marble is a rock composed of calcium and magnesium carbonate, mostly white and pink.[1] common marble varieties are granular limestone or dolomite",Marble is a rock composed of calcium and magnesium carbonate.
Is the hardness of marble high or low?,,Yes it is very durable.
Is the hardness of marble high or low?,"the hardness of marble is very high, because the internal structure of the rock is very uniform after long term natural aging, and the internal stress disappears, so the marble will not be deformed due to temperature, and has strong wear resistance. it is a very popular building material","The hardness of marble is very high, because the internal structure of the rock is very uniform after long term natural aging."
Does marble has a very good wear and temperature resistance?,,Yes it has.
Why good techniques must be applied?,it is a very popular building material.the perfection of ancient building technique assured the strong resistance of the monuments to natural forces for a long time,To assure strong resistance to natural forces for a long time.
Are damages originate also from humans?,"it is notable, however, that most of the damage that we are obliged to confront today does not originate in the action of the elements but in the interference of man. moreover, the damage caused by rescue or restoration interventions of the recent past is extensive",Most of the damage that we are obliged to confront today does not originate in the action of the elements but in the interference of human.
What is the main cause of the erosion of marble?,"chemical this comprises forms of erosion suffered by the marble mainly as a result of acid rain. a serious problem connected with atmospheric pollution concerns the various accretions and deposits in the form of powder, carbon (black soot) and metal rust",The acid rain that erodes the marble.
What are common roots of biological degradation.,"biological these are forms of corrosion caused by lichens, moulds, bird droppings, plant roots and their discharges.a general principle of the works is to carry them out on the basis of decisions taken as objectively as possible, with transparency in all phases","Lichens, moulds, bird droppings, plant roots and their discharges."
What should be the materials used in restoration?,the materials used in restoration must be harmless and compatible with the authentic materials,Must be harmless and compatible with the authentic materials.
Can we use as much titanium rods as we want?,"for joining fragments, the titanium rods required by the structural study, should be used as sparingly as possible and the holes for titanium reinforcements be as few as possible, so as to avoid damaging the ancient material",Titanium rods required should be used as sparingly as possible and holes for titanium reinforcements must be as few as possible.
Can you use white marble in sculptures?,in restoration supplements of new marble are limited. the decision is always made on the basis of the structural and aesthetic autonomy of the member involved and the integrity of the area being restoredwhite marble has been prized for its use in sculptures since classical times,White marble has been prized for its use in sculptures since classical times.
Can you polish a marble?,"construction marble is a stone which is composed of calcite, dolomite or serpentine that is capable of taking a polish",Yes you can.
Can you use the term marble for any crystalline rock?,"more generally in construction, specifically the dimension stone trade, the term marble is used for any crystalline calcitic rock (and some non calcitic rocks) useful as building stone",Yes you can.
Is daily cleaning and maintenance important for marble?,"cleaning and prevention the nature of marble is soft and porous, so it is easily stained by colored liquids and scratches easily. so daily maintenance and cleaning is particularly important.prevention prevent sand and dust from contacting the marble surface",Yes it is.
What to prevent when cleaning marbles?,"so daily maintenance and cleaning is particularly important.prevention prevent sand and dust from contacting the marble surface. avoid corroding marble surfaces with alcohol, color and acidic liquids.cleaning as a floor material, marble is the easiest to scratch","Avoid corroding marble surfaces with alcohol, color and acidic liquids."
How to clean marble surfaces?,"a mild, ph neutral, non abrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton or rag.salt crystallization crystallization of salts within the pores of stones can generate sufficient stresses to cause the cracking of stone, often into powder fragments","A mild, ph neutral, non abrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton."
Can salt crystallization damage stone?,"a mild, ph neutral, non abrasive soap should be used for cleaning marble surfaces. wipe with a soft foam cotton or rag.salt crystallization crystallization of salts within the pores of stones can generate sufficient stresses to cause the cracking of stone, often into powder fragments",Salt crystallization within the pores of stones can generate sufficient stresses to cause the cracking of stone.
Can salt hydration cause damage to stone?,this process is considered to be the major cause of stone deterioration in many parts of western europe [24 26]. closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts [14],Closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts.
The resistance of stone to salt damage is dependent on what?,closely related to the crystallization of salt is damage caused by salt hydration and by differential thermal expansion of salts [14]. the resistance of stone to salt damage is dependent on the pore size distribution and decreases as the proportion of fine pores increases [11],The resistance of stone to salt damage is dependent on the pore size distribution and decreases as the proportion of fine pores increases.
"Which is a less soluble salts, calcium sulfate or sodium chloride?","crystallization damage caused by highly soluble salts, such as sodium chloride and sodium sulfate, is usually manifested by powdering and crumbling of the stone's surface [11]. less soluble salts such as calcium sulfate form glassy, adherent films which cause spalling of a stone's surface [16]",Calcium sulfate is less soluble.
What is a major source of salts in urban environments?,"a major source of salts in urban environments is the reaction between air pollutants and stone. for example, limestone can react with sulfur dioxide to ultimately produce calcium sulfate","A major source of salts in urban environments is the reaction between air pollutants and stone, for example limestone can react with sulfur dioxide to ultimately produce calcium sulfate."
What is sufficiently acidic to accelerate the weathering of exposed stone?,"it has been reported [32, 51] that the rainwaters in many urban areas in the united states and europe are sufficiently acidic to accelerate the weathering of exposed building stone",The rainwaters are sufficiently acidic to accelerate the weathering of exposed stone.
Is acid rain bad for stone?,,Yes it is.
Is the proportion of pollutants in rainwater an important degradation factor?,"in areas where the rainwater is relatively free from pollutants, the dissolution of most common building stones is usually not a serious problem [30].frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage","If the rainwater is relatively free from pollutants, the dissolution stones is not a serious problem."
When frost damage occurs in stones?,"in areas where the rainwater is relatively free from pollutants, the dissolution of most common building stones is usually not a serious problem [30].frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage",Stones which are exposed to freezing temperatures and wet conditions may undergo frost damage.
Are low temperatures bad for stones?,,Yes they are because they will undergo frost damage.
What factors affect stone frost damage susceptibility?,"frost damage certain stones which are exposed to freezing temperatures and wet conditions may undergo frost damage. the frost susceptibility of a stone is largely controlled by its porosity and pore size distribution [33,34]",The frost susceptibility of a stone is largely related by its porosity and pore size distribution.
Which stones are most susceptible to frost damage?,"the frost susceptibility of a stone is largely controlled by its porosity and pore size distribution [33,34]. of stones with a given porosity, those with the smallest mean pore size will generally be the most susceptible to frost damage",The stones with the smallest mean pore size will generally be the most susceptible to frost damage.
When frost damage is reduces?,"of stones with a given porosity, those with the smallest mean pore size will generally be the most susceptible to frost damage. frost resistance also generally decreases with increased available porosity [15], i.e., pore volume which is accessible to water",Frost resistance also generally decreases with increased available porosity.
Is frost resistance related to saturation coefficient?,"frost resistance also generally decreases with increased available porosity [15], i.e., pore volume which is accessible to water. the frost resistance of a stone is often assessed from its saturation coefficient,(2) with stones having saturation coefficients less than 0",Frost resistance of a stone is often assessed from its saturation coefficient.
Does salt crystallization deteriorate stone?,"they regard frost damage as a secondary process, e.g., frost damage may be responsible for the final fragmentation of stone damaged by other processes, such as salt crystallization",Salt crystallization is responsible for the fragmentation of stone.
Is frost damage an important degradation factor?,,Yes it is.
Is frost damage an minor degradation factor?,,No it is not.
Which biological factor is the most destructive for stone?,"microbiological growth the attack of stone by a variety of plants and animals has been reported [14] including roots of plants, ivy vines, microorganisms, boring animals, and birds. of these, microorganisms appear to be the most destructive",Microorganisms appear to be the most destructive.
What are some biological factors for degradation of stone?,"microbiological growth the attack of stone by a variety of plants and animals has been reported [14] including roots of plants, ivy vines, microorganisms, boring animals, and birds. of these, microorganisms appear to be the most destructive","Roots of plants, ivy vines, microorganisms, wastes from animals and birds."
How biological factors attack?,"of these, microorganisms appear to be the most destructive. some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals [14, 38]","Some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals."
"What bacteria, fungi, algae, and lichens produce?","some types of bacteria, fungi, algae, and lichens produce acids and other chemicals which can attack carbonate and silicate minerals [14, 38]. it appears that under certain environmental conditions attack by microorganisms can be a serious problem [39 41]",They produce acids and other chemicals which can attack carbonate and silicate minerals.
What has become an important maintenance problem for stone floors?,"for example, stone floors are gradually worn by foot traffic, stones are damaged by people either collecting souvenirs or poking into soft stone [28], and graffiti removal has become an important maintenance problem [42 48]","Stone floors are gradually worn by foot traffic, stones are damaged by people either collecting souvenirs or poking into soft stone."
On what the durability of stone structures depends on?,"original construction the durability of stone structures also depends on factors encountered during their original construction including proper design, good construction practices, and proper selection of materials","The durability of stone structures depends on few factors including proper design, good construction practices and proper selection of materials."
What ferrous metals can lead to?,"for example, normal steel and cast iron anchors, dowels, reinforcing rods, etc., were often used in the construction or repair of stone structures. certain ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework [11]",Ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework.
What materials should be used to protect cracking of stonework?,"certain ferrous metals are susceptible to corrosion which can lead to the cracking and spalling of stonework [11]. therefore, noncorroding material should be selected, e.g., epoxy coated steel [44], certain types of stainless steel [45], or non corroding non ferrous alloys [11]","Noncorroding material should be selected like epoxy coated steel, stainless steel or non corroding non ferrous alloys."
What is a consequence of using poor quality stone in the original construction?,"g., epoxy coated steel [44], certain types of stainless steel [45], or non corroding non ferrous alloys [11].a large portion of stone durability problems are the consequence of using poor quality stone in the original construction",To durability problems.
Is the air pollution affects stone deterioration?,,Yes it is.
Are consolidants making a stone more durable?,"it is doubtful that a stone consolidant can make a poor quality stone durable and, as with the above example, stone replacement can be at times the most rational approach [52]",It is doubtful that a stone consolidant can make a poor quality stone more durable and stone replacement is the most rational approach.
What stone consolidant do?,these performance considerations could become the basis for stone consolidant specifications.consolidating value the most important function of a stone consolidant is to re establish cohesion of the particles of deteriorated stone [1 4],The most important function of a stone consolidant is to re establish cohesion of the particles of deteriorated stone.
How to measure the benefits of consolidating a stone?,"methods which have been used to obtain a qualitative assessment of the consolidating value of stone consolidants include the measurement of the tensile strength of treated unweathered stone [25, 53], measurement of surface hardness of treated weathered stone [54,55], and the abrasion resistance of treated unweathered stone [56]","Measure the tensile strength, surface hardness and the abrasion resistance gained."
How is a deteriorated stone treated?,"a more quantitative test needs to be developed, which incorporates the testing of standard deteriorated stone. a standard deteriorated stone may merely be finely crushed stone, which is then treated with consolidants and its tensile strength measured",With the addition of consolidants.
Should treated stone weather at the same rate?,"in addition, treated stone should weather (in terms of appearance) at nearly the same rate as the original stone, to retain, as closely as possible, the authentic appearance of the stone",Yes it is.
How to select a good consolidant for stone?,"durability of a consolidated stone is dependent on several factors, including the durability of the consolidant, compatibility of the consolidant with the weathered stone, properties of the consolidated stone, and the environment","Check the durability of the consolidant, the compatibility of the consolidant with the stone and its properties."
What is a good property for a stone consolidant?,"depth of penetration past experience with stone consolidants has shown that their ability to penetrate weathered stone is one of the main factors controlling their performance [3, 16, 25, 57 60]",Their ability to penetrate weathered stone is one of the main factor of a good consolidant.
Are consolidante good for stone?,,Yes they are.
Should I use a consolidant for the stone?,,Yes you can use!
Does filling the pores with a consolidant is a good thing?,"superficially penetrating consolidants tend to fill the pores of stone surface layers, thereby reducing the permeability. this may result in the accumulation of moisture and salts behind the treated layers [58, 61]",Consolidants that fill the pores of stone they reduce the permeability and this may result in the accumulation of moisture and salts.
How interfacial delamination occurs.,"this may result in the accumulation of moisture and salts behind the treated layers [58, 61]. furthermore, interfacial delamination often occurs because of a marked difference in the thermal properties of the treated and untreated stone [10, 11, 58]",Interfacial delamination occurs because of a marked difference in the thermal properties of the treated and untreated stone.
What is considered a good consolidant for a porous stone?,price has suggested [58] that a good consolidant should be able to penetrate a weathered porous stone to a depth of at least 25 mm. this should result in a gradual transition in the thermal and mechanical properties from the exterior treated surface to the inner layer of untreated stone,A good consolidant should be able to penetrate a weathered porous stone to a depth of at least 25 mm.
Should the consolidant penetrate inside the porous stone?,,"Yes it should, this result in a gradual transition in the thermal and mechanical properties from the exterior treated surface to the inner layer of untreated stone."
Which property of a stone consolidant affects its ability to penetrate a stone at different temperatures?,"properties of a stone consolidant which affects its ability to penetrate a specific stone at a given temperature include its viscosity [57, 59, 61], surface tension [59], the rate at which gel or precipitate is formed [16], method and conditions of application [2, 63], and rate of evaporation of any solvent [66]","The properties of a stone consolidant which affects its ability to penetrate a specific stone at a given temperature include its viscosity, surface tension, the rate formed, method and conditions of application and rate of evaporation."
What has a great effect in stone durability?,"tammes and vos [67] developed the following relation for the horizontal transport of liquid through porous materials;stone porosity as previously mentioned, the porosity and pore size distribution of a stone can have a major effect on its durability",Porosity and pore size distribution of a stone can have a major effect on its durability.
What affects the stone resistance in frost and salt damage?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful",The proportion of fine pores.
Does the resistance of frost and salt damage decreases if the fine pores increase?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful","Yes, the resistance of stone to frost damage and to salt damage decreases as the proportion of fine pores increase."
Does the resistance of frost and salt damage decreases if the fine pores decrease?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful","No, the resistance of stone to frost and salt damage decreases as the proportion of fine pores increase."
Does the resistance of frost and salt damage increases if the fine pores decrease?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful","Yes, the resistance of stone to frost damage and to salt damage increases as the proportion of fine pores decrease."
Does the resistance of frost and salt damage increases if the fine pores increase?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful","No, the resistance of stone to frost and salt damage decreases as the proportion of fine pores increase."
A stone consolidant which reduces the size of large pores but does not close them is harmful?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful","Yes, a stone consolidant which reduces the size of large pores but does not close them may be harmful."
Should a stone consolidant close large pores?,"for example, the resistance of a given type of stone to frost damage and to salt damage decreases as the proportion of fine pores increase [11, 33]. therefore, a stone consolidant which reduces the size of large pores but does not close them may be harmful",Yes it should.
How is the pore size distributions measured?,"a method which can be used to determine the effects of a stone consolidant on pore size distribution was described by clifton et al. [70]. in their work, the pore size distributions of both impregnated and unimpregnated hardened cement pastes were measured using a mercury porosimeter",The pore size distributions is measured using a mercury porosimeter.
How is pore size distribution obtained?,both pressurization and depressurization studies were performed. pressurization results give an indication of the total open porosity and pore size distribution. information on the shape and continuity of pores is obtained by depressurization work,Pressurization give an indication of the total open porosity and pore size distribution.
How is information on the shape and continuity of pores obtained?,information on the shape and continuity of pores is obtained by depressurization work. pressurization studies on stone have been performed by biscontin and pavan [71] and by alessandrini et al. [72],Information on the shape and continuity of pores is obtained by depressurization.
Why often stone consolidants perform bad?,"[72].moisture transfer many stone preservatives and stone consolidants have performed poorly because they form a surface film which impedes liquid water migration through the treated stone, but allows water vapor to pass",Many stone preservatives and stone consolidants perform poorly because they form a surface film which impedes liquid water migration through but allow water vapor to pass.
How deposits of salts occur in stone?,"this can lead to a situation where water evaporates behind the treated stone leaving deposits of salts [59, 61]. because water vapor can pass in and out of the stone, the deposited salts may rehydrate and possibly be converted into different crystal forms","Because water vapor can pass in and out of the stone, it leaves deposited salts that may rehydrate and possibly be converted into different crystal forms"
Can the siddolution of crystals distrupt the mictortucture of the stone?,"further, larger crystals may grow through the dissolution of small crystals and reprecipitation on larger crystals. these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion between stone particles [14]","Larger crystals grow through the dissolution of small crystals and reprecipitation on larger crystals., these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion."
What increases the susceptibility of a stone to frost damage and to thermal shock.,"these processes may result in the disruption of the microstructure of the stone and breakdown of cohesion between stone particles [14]. further, impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock",Impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock.
How moisture is accumulated in structure?,"further, impeding the passage of water vapor may increase the susceptibility of a stone to frost damage and to thermal shock.if a material produces a film which prevents the passage of both water and water vapor, large amounts of moisture could accumulate in a structure","If a material produces a film which prevents the passage of both water and water vapor, large amounts of moisture could accumulate in a structure."
What moisture affects?,"in addition to decreasing the resistance of the stone to frost damage, excess moisture in a structure could cause the rotting of wood, corrosion of metals, and degradation of plaster and roofing materials","Decrease stone resistance to frost damage, cause the rotting of wood, corrosion of metals and degradation of plaster."
Should a stone consolidant be hydrophilic?,"munnikendam has suggested [73] that a consolidant should be hydrophilic to allow moisture to pass through the treated stone. in addition, he suggested that the water vapor transmission of treated stone should not be decreased by more than 30 percent compared to untreated stone",A consolidant should be hydrophilic to allow moisture to pass through the treated stone.
Should I use a hydrophilic consolidant?,,Yes you should.
Should the consolidant be compatible with the stone?,"compatibility of consolidant with stone experiences with stone consolidants have demonstrated [16, 61] that they should be compatible with stone to form a durable composite",Stone consolidants should be compatible with stone to form a durable composite.
Is there any compatibility between stone and consolidant?,,Yes there is and you must ensure that your consolidant is compatible with the stone.
What  thermal properties consolidants should have?,"specific compatibility requirements should include the following:cured consolidants should have thermal dimensional properties similar to those of sound stone [16, 73]",Consolidants should the same thermal properties as the stone.
How delamination of the consolidated stone occurs?,"otherwise, delamination of the consolidated stone from the untreated stone could occur [76], especially if the stone is subjected to thermal shock. in addition, the cured consolidant should not become brittle [16, 76, 77]",If the consolidant has not the same thermal properties then delamination occurs.
Should the consolidant disrupt the microstructure of the stone?,"in addition, the cured consolidant should not become brittle [16, 76, 77].the consolidant should not severely disrupt the microstructure of the stone [16]",No the consolidant should not severely disrupt the microstructure of the stone.
How a consolidant can lead to microcracks?,"for example, if the crystals formed from the precipitation of an inorganic consolidant exhibit crystal growth sufficient tensile stresses may be produced to cause the development of microcracks, and ultimately macrocracks in the matrix",If the crystals formed from the precipitation of an inorganic consolidant exhibit crystal growth sufficient tensile stresses may be produced to cause the development of microcracks.
Is hydrofluoric acid good for the stone?,"g., hydrofluoric acid, depend on their reacting with the constituents of the stone to form insoluble products. many conservators [5, 16, 76, 78] are opposed to the use of such materials because the reaction products usually fill the voids and pores, thereby sealing the surfaces","No many conservators are opposed to the use of such materials because the reaction products usually fill the voids and pores, thereby sealing the surfaces."
What consolidants are harmful for stone?,"consolidants should not form by products which can be harmful to the stone. many of the inorganic consolidants are precipitated as a result of the reaction between two dissolved salts [1, 16, 50]",Many of the inorganic consolidants are harmful to the stone.
How can soluble salts damage a stone?,"in addition to the precipitate, at least one soluble salt is formed, much of which is deposited in the stone as the water evaporates. these soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface",The soluble salts can damage the stone through recrystallization processes and/or produce unsightly efflorescence on the treated stone's surface.
Can soluble salts damage a stone?,,Yes they can.
Are soluble salts bad for the stone?,,Yes soluble salts are harmful to the stone.
Are norganic consolidants produce white deposits on stone?,"effect on appearance ideally the application of a stone consolidant would not cause any change in the appearance of a stone. most inorganic consolidants, however, produce a white deposit within the voids and pores of a stone, the color of which may not match the color of the stone","Yes, most inorganic consolidants produce a white deposit within the voids and pores of a stone, the color of which may not match the color of the stone."
