question,context
is the marble as hard as the marble itself?,"often the calcium accretions absorb various iron salts which, when they precipitateout from the ground onto the surface of the sculpture, becomealmost as hard as the body of the marble itself"
How many millimeters deep is the surface of a stone?,"when combinedwith the effects of other patination, this phenomenom cancause tons of pressure which will strip the surface to severalmillimeters deep from any stone"
the removal of sulfation is important to the appearance and future preservationof what?,the removal of sulfation isof vast importance to the appearance and future preservationof a sculpture
"the attack of the porous stone by organismsssuch as fungi, lichens, and bacteria","a problem often encountered by conservator when treatingsculpture which has been kept outdoors for long periods oftime is the attack of the porous stone by biological organismssuch as fungi, lichens, and bacteria"
how do bothfungi and lichens attack stone?,bothfungi and lichens seem to attack stone which either has beencovered with plaster or was converted to calcium sulphate byexposure to atmospheric sulphates
Why is it important for water to penetrate stone?,"surface weathering and general decompositionwhen water is allowed to penetrate stone because of eitherburial or constant inundation by rain, one can expect thetransport of various ions to the surface"
What happens to a marble when it touches it?,"marble in this state is often ""sugary"" to the touch and simplyfalls away of its own accord"
What is added to marble to strengthen it?,"20 weathering + general decompositionbefore a strengthening agent is added during treatment, marble which has suffered loss of its structural integrity must becleared of contaminating salts"
when opening pores of marble to allow complete entry of the strengthening agent,the pores of the marble must be opened to allowcomplete entry of the strengthening agent
How couldomers be taken into the stone by using largequantities of solvent?,"monomers, being of much smaller size, would seem to be alogical choice and could be taken into the stone by using largequantities of solvent until the solute reached 15% by weight"
the mostvirulent attack on a stone occurs when the plastic containsmany aliphatic groups,"unfortunately, it has been discovered that monomers often makemarble more susceptible to sulphate attack.16 the mostvirulent attack on the stone occurs when the plastic containsmany aliphatic groups"
is bariumhydroxide an effective agent for strengthening stone?,"a traditional agent for strengthening stone is bariumhydroxide. again, there is some difficulty with getting thetreatment into the area where it will be effective"
Is it beneficial to close pores in marble?,"in the long run, it is hard to know whetherit is beneficial to close the pores in marble, thereby setting upa different layer near the surface which may react adverselywith expansion and contraction"
were the bee nadde d wedged into the marble?,"some  pins have bee nadde d as press  fits; that is , they were  wedged  into the marble"
if corrosio n has been drilled what is the damage done to the marble?,"if corrosio n has  take n place , they  will have  to be drilled  orground ou t with  as littl e damage  to th e marble  as possible"
is it possible to build fragmentsmarble because of its translucence?,"reconstruction of fragmentsmarble owes its special translucence to several factors: thepurity of the calcite of which it is made, the size and shape ofthe crystals, and the inclusions which provide nuances ofcolor"
"in reconstruction of stone, epoxy resins have taken the place of what?","the latter is able to detect the vein structure not visible to theeye so that correspondences can be made.in the reconstruction of stone, epoxy resins have taken theplace of shellac"
Why was the use of wax and crushedmarble dust used as fill material?,"a comment should be made about the use of wax and crushedmarble dust as fill material. at one time, the former was usedbecause it successfully imitated the translucent quality ofmarble"
can marble dust be used for structural support?,"however, it is quite acidic and turns brown and crumbly with age. marble dust fills, on the other hand, can be verysuccessful when structural support is not required"
how to create a marble countertop?,"properlycrushed marble can, in the proper matrix, give the same texture and some of the translucency of the original surface.coloring the fill is an important consideration"
"what is the meaning of the word ""decay of stone""?","346, 1968.2. winkler, e. m., ""decay of stone,"" ""conservation of stone,""reprints of the contributors to the new york conferenceon conservation of stone and wooden objects, june 1970.3"
"the surface morphology of lasercleaning stone, 1973.9. see winkler article.","8. asmus, j. f., seracini, m., zetler, m. j., surface morphology of lasercleaned stone, 1973.9. see winkler article.10. see young article.11"
the protection ofquarry stone and brick of architectural monuments against physiochemical effects and biological deterioration,"13. lelikova, d. and tomashevich, s., ""the protection ofquarry stone and brick of architectural monumentsagainst physiochemical effects and biological deterioration "" icom 4th meeting.14. winkler, e"
the efficiency of epoxy resins as stone preservative was published in which publication?,"5.15. chuatal, ""moderne chemie hilft dem bauwerke maltecknik,"" restauro, 1972.16. gauri, k., ""efficiency of epoxy resins as stone preservatives,"" studies in conservation, 19,1974.17. lewin, s. z"
when were marble figurines created?,marble figurines were fashioned in the cyclades during the third millennium b.c.e. their meaning for their creators may remain a mystery to us forever
What is the last name of the person who created a marble vase?,"9) (doumas 1987; marinatos 1984). figure 6, above marble vase. early cycladic sculpture was not restricted to figurines. marble vases are another artistic manifestation of the thirdmillenniumb.c.e"
"why have the walls built with stones, clay mixed with broken straw and timber lost their original","however, the walls built with stones, clay occasionally mixed with broken straw, and timber have lost their original cohesiveness due to the disintegration of all organic matter 32 doumas figure 10 walls with horizontal zones"
is travertine the same as original marble?,"the new elements were also rendered in different materialsfor example, travertine has been substituted for the original marble"
What was plastered with a cement mortar?,"missing parts were produced in masonry and plastered with a cement mortar. it remained in this condition until recent years, when new conservation work was undertaken"
the importance of a site that does not have a large stone bema that was used for,9) were not considered sufficient to explain to visitors the importance of a site that does not have any prominent archaeological features other than a large stone bema that was used for sacrifice
Most rooms in the villa buildings had either marble facings or painted frescoes on,"in addition, although scarcely mentioned by the main excavator, almost all rooms in the villa buildings had either marble facings or painted frescoes on their walls"
How many panels of sheet glass are in the threeapsed hall?,"wall panels of sheet glass, which have replaced the original corrugated plastic sheathing material, have encouraged heat buildup. figure 10 protective enclosure over the threeapsed hall"
How many magazines are in the front of the stone wall?,court of the stone spout 39. magazines of the giant pithoi 40. east bastion 41. corridor of the draughtboard 42. northeast hall 43. northeast magazines 44. room of the stone drainhead 45
How many sections of the grand staircase were rebuilt in stone?,"11 moreover, a good deal of rebuilding in stone had been undertaken, with the additional support of iron girders set in cement in figure 16 area of the grand staircase, 19025"
What did the marble splintered like?,"i grieved to think that i was probably the last to contemplate the rosetinted squares of this fine pavement, and i felt both sad and uneasy as i walked upon the slabs, which creaked and splintered as if it were a thin layer of ice upon the marble"
How many years did it take to weather the limestones in greece?,"124 papadopoulos moraiti, e., and b. christaras 1992 weathering of marly and biogenic limestones used in the antiquities of crete, greece: stratigraphy and mechanical consideration"
What can cause cracks and fissures in bones?," plants and roots can also cause cracks and fissures in the bones .  manipulations to suffer the p iece as well as deficiencies in transport, irreversible interventions, etc"
does a glass have to be clear?,the appearance of a glass can be altered:   clear: glass loses transparency   exudate: we can see drops of liquid on the surface.   cracked: presence of microcracks that make the glass opaque
what kind of eyeglass is the samona maria cursaruherlea?,"brukenthal. actamusei, xii. 4, 2017 simona maria cursaruherlea   690 the scalpel, spatula, proper needles and even the binocular eyeglass (fig. 4)"
How can you quickly dry broken glass?,"drying can be hurried by placing the shards in a stove at 2530 ° c, or it can be done slowly at ambient temperature by placing the fragments on a stand or filter paper and left there for 12 days"
How to make the mounting holes of the metal armatures?,"with the help of an  electric outboard we made the mounting holes of the metal armatures, using the drill that was appropriate to the thickness of the object (fig. 11)"
what was used to infiltrate into the cracks and fissures?,"cementation of the fissures and cracks was done using plaster with water, which is the same mixture used for the fillings, but this time its consistency was a bit more fluid, to better infiltrate into the cracks and fissures"
Which is the best way to clean a binocular eyeglass?,3. immersion of shards into water and nonionic detergent solut ion 4. mechanical cleanings under binocular eyeglass. 5. drying the fragments without caco3 and caso4 deposits on a sta nd. 6
the 2. stone building (conservation and restoration) is an example of what type of,2. stone buildings—conservation and restoration.i. getty conservation institute.ii. title.ta426.p75 1996691’
how to repair a sculptured stone object?,"in the past, the repair of damaged sculptured stone objects was frequently accomplished using more intrusive means,such as iron dowels, staples, or clamps that often marred the appearance of theobject and could lead to further damage"
"For the patching and filling of defects,lime mortar, cement of paris, sodium","for the patching and filling of defects,lime mortar, cement, plaster of paris, sodium silicate, and various gums andresins were used—materials no longer considered acceptable"
What type of treatment was used to remove soluble salts from stone?,"stonecleaningprocesses involved harsh acidic treatments followed, at times, by neutralizationwhich resulted in the production of soluble salts that penetrated the stone andincreased the potential for future saltcrystallization damage"
Was the quality of the rebuilt architectural stone improved or decreased?,"damaged architectural stone was either replaced or repaired with little r egard to materials compatibility with the stone, appearance matching, or the durability of the treatment"
the methods for evaluatingstone properties universally accepted are called what?,"should the emphasis on stoneconservation research be placed on development of new materials and newapplication procedures? has there been significant work on the evaluation of theposttreatment stone property improvements? are the methods for evaluatingstone properties universally accepted? do we need to conduct research onmethods for carrying out and assessing the longterm durability of treatments?are there pro blems in the process of conducting stone conservation researchthat bear on our ability to do the research effectively? can these problemsbe defined; and, if so, what can be done to further the effectiveness ofstone research?these are some of the many questions that clifford a"
who has considered this review of the current status of stone conservation research?,price has consideredin this review of the current status of stone conservation research. we askeddr
What should be addressed to increase the effectiveness of stone conservation?,"price to give us his subjective viewpoint on what is being done right, whatareas of current research should be continued or accelerated, and what newdirections should be addressed that would promote an increase in the effectiveness of stone conservation"
who has had extensive discussions with a number of active participants in thestone conservation community?,"pricehas had extensive discussions with a number of active participants in thestone conservation community and what has emerged is an engaging accounton whither we seem to be going and in which ways, if any, our pathsshould be altered"
who has consulted with other conservation scientists and stone conservators?,"in order that my own prejudices might not shine through too strongly,i have consulted with other conservation scientists and stone conservators,and i am very grateful for the help and advice that they have given me"
what is the name of the chapter 1stone decay investigation?,xiiistone conservationan overview of current researchchapter 1stone decaythe deterioration of stone is all too familiar to anyone who has looked closely ata historic stone building or monument
Are the majority of stones subject to gradual or gradual deterioration?,"while there are a few stones that seemto be little affected by centuries of exposure to the weather, the majority ofstones are subject to gradual deterioration"
is it important if thestone is an undecorated part of a massive wall or,"this may not matter much if thestone is an undecorated part of a massive wall—in a castle or a cathedral, forexample"
"To understand the behavior of any particular stone in a given environment, we need to understand what",we thenneed to understand the causes and mechanisms of decay. only then can wehope to understand the behavior of any particular stone in a given environment
the stonethe literature is full of papers concerned with what?,only then can wehope to understand the behavior of any particular stone in a given environment.characterizing the stonethe literature is full of papers concerned with stone characterization
How many forms does decaystone decay take?,rautureau et al. (1994) have also used fractal analysis to describestyolite irregularities in limestone.describing decaystone decay takes many different forms
can you tell if a stonemay is sound or not sound?,"sometimes the stonemay look perfectly sound to the naked eye, while below the surface it haslost its cohesion.one of the problems in discussing stone decay is that of finding a commonlanguage"
what is one of the problems in discussing stone decay?,"one of the problems in discussing stone decay is that of finding a commonlanguage. even in english, there are a bewildering number of terms that may1mean different things to different people"
what was used to m onitor the rate of stone decay at st paul'scat,"it was used, for example, to m onitor the rate of stone decay at st. paul'scathedral, london, over a tenyear period, during which sulfur dioxide levelsfell by 50 percent (tr udgill et al. 1989)"
who used the technique to monitor the decay of limestone exposed to a range of different pollution environments,jaynes and cooke used the technique to monitor the decay of limestone exposed to a range of different pollution environments.closerange photogrammetry has been described by coe et al
Who proposed the use of laserinterferometry to monitor surface loss in stone?,1 mm per year over a fouryear period.asmus and coworkers (1973) were among the first to propose the use of laserinterferometry to monitor surface loss in stone
is it possible to detect cracks in stone?,"preeminent among them is the use of ultrasonicsto detect the presence of cracks, voids, and other inhomogeneities in stone(mamillan 1991a:17)"
the transmission of ultrasonic waves in stone depends on how many fa ctors?,"the transmission of ultrasonic waves in stone depends on many fa ctors, andinterpretation of the data is not necessarily straightforward"
Is it unlikely that it will prove of value in detecting flaws in stone masonry?,"while it may prove of value in detecting flawsin stone masonry, it seems unlikely that it will have application in assessingdeterioration of the stone itself"
What has been used to studymoisture movement in stone?,infrared thermography has been used by gayo and coworkers (1992) to studymoisture movement in stone
a technique that is suitable for one type of stone and another type of environment may not prove,no one technique can disentangle and quantify them. and a technique that is suitable for one type of stonein one type of environment may not prove satisfactory elsewhere
"To prevent or remedy the decay ofstone, we must understand what is causing it?","causes of decaybefore we can take any action to prevent or to remedy the deterioration ofstone, we must understand what is causing it"
what is the main cause of stone decay?,"these are considered in the following sections.chapter 1 4air pollutionair pollution is, to many people, the prime culprit of stone decay"
the effects of air pollution on stone have received little attention in how long?,"needless to say, the situation is a good dealmore complex in reality.the effects of air pollution on stone have received enormous attention in thepast two decades"
 funded bystone research has enabled them to do what?,stoneresearch has been able to ride on the back of these concerns and to benefit from the funding that they have received
the perception of stone loss through pollution is increasing due to what?,"it is possible that the perception is due largely to an increasing publicawareness of the problem, and to the fact that stone loss through pollutionis cumulative"
can limestone dissolve in water to give an acidic solution?,"all are capable of dissolving in water togive an acidic solution, and so are capable of reacting with calcareous materialssuch as limestone, marble, and lime mortar"
the effects of acidic pollutants on calcareous stones depend very much on what?,the effects of acidic pollutants on calcareous stones depend very much on theimmediate environment of the stone
"if a stone is in an exposed position where it is regularly washed by rain, what happens","if the stone is in an exposed positionwhere it is regularly washed by rain, the reaction products are washed away andthe surface of the stone gradually recedes"
what is formed when a stone is in a relatively sheltered position?,"if, how ever, the stone is in a relatively sheltered position, the reaction products accumulate and may forma dense black crust on the surface"
can you use a new stone to create a new environment?,"again, they are normally based on new stone, but they offer theadvantage of being able to create a wide range of closely defined environmentsat will"
the rate of stonedecay is an example of what?,these are mathematical expressions that attempt to express the rate of stonedecay as a function of several d ifferent variables
the growth of salt crystals within the pores of a stone can overcome what?,the growth of salt crystals within the pores of a stone cangenerate stresses that are sufficient to overcome the stone's tensile strengthand turn the stone to a powder
can stonework be contaminated with salts?,the deterioration of many of the world'sgreatest monuments can be attributed to salts.there are many ways in which stonework can become contaminated with salts
How many mechanisms are there forstone decay 7salt damage?,stone decay 7salt damage is largely attributable to two mechanisms: the crystallization of saltsfrom solution; and the hydration of salts
can salt cause crystallization damage?,"any salt, in principle, is capable ofcausing crystallization damage, whereas hydration damage can be caused onlyby salts that can exist in more than one hydration state"
can damage tostonework be done in a museum environment?,"it can also happenindoors, through the hygroscopic action of the salts. severe damage tostonework held in uncontrolled museum environments is not uncommon(hanna 1984)"
how to keep a stone fresh?,"a stone may be fed constantly with saltbearingmoisture from the soil, for example, so that salts are constantly accumulating atthe point of evaporation"
zehnder and arnold describe the crystallization process how?,"using scanning electron microscopy to supplement macroscopic observation,zehnder and arnold (1989) have very elegantly described the crystallization process"
At what temperature did the crystallization test take place?,"they adopted a crystallization test which consisted of cycles ofimmersion in sodium sulfate solution, followed by drying at 60° c and thencooling"
Didrossimanaresi and tucci show an acorrelation between observed crystallization,"rossimanaresi and tucci (1991), for example, have demonstrated acorrelation between observed crystallization damage and pore size distribution"
How doeslewin demonstrate that energy is sufficient todisrupt stone?,"lewin (1990) has emphasized that cr ystallization pressures originate inthe release of free energy during the deposition of crystals from a supersaturatedsolution, and he has demonstrated quantitatively that the energy is sufficient todisrupt stone"
does price grow above tensile strength of stone?,"although the equation can indeed be used to computecrystal growth p ressures far in excess of the tensile strength of stone, price(1991) has questioned whether the assumed degree of sup ersaturation is realistic in practice"
who studied the relative i mportance of hydration and crystallization?,"among them are the relative i mportance of hydration and crystallization, a topic studied by sperling and cooke (1985) in the case of sodiumsulfate"
What is the main cause of damage caused tolimestone by air pollution?,"1992). the crystallization of calcium sulfate is a topic of particular interest, sinceit is widely held to be ultimately responsible for much of the damage caused tolimestones by air pollution"
Some of the literature is concerned with the influence of what on the appearancestone decay 9,"some of the literature is concerned primarily with the influence of organisms on the appearancestone decay 9of stone surfaces, while others deal primarily with the deterioration of thestone itself"
thesecretion of oxalic acid reacts with a calcareous stone to produce what,"thesecretion of oxalic acid, which reacts with a calcareous stone to produce calciumoxalate, is of particular interest"
can bacteria build a new habitat for a stone?,thisconclusion is not valid; an alternative explanation could be that decayed stonepresents a preferred habitat for the bacteria.bacteria attack stone chemically
How do the organic compounds on the stone toderive their carbon?,"heterotrophic bacteria, by contrast, utilize organic compounds on the stone toderive their carbon"
what is the difficulty of separating out the individual causes of stone decay?,this underlinesthe difficulty of separating out the individual causes of stone decay; severaldifferent factors may be part and parcel of the overall decay process
What has done to a decayed stone?,""" traditionally, this has meant doing som ething to the stone:perhaps patching it up with mortar, applying some kind of protective coating,or cutting out decayed stone and replacing it with new stone"
is there an emphasis in the environment where the stone finds itself?,"now, how ever,there is an increasing emphasis on doing something  to the environment  in whichthe stone finds itself"
what is it called when a stone finds itself in the environment?,"preventive conservationdoing something to the environment in which the stone finds itself (or, moresuccinctly, preventive conservation) is not simply a matter of temperature andrelative humidity"
is stonemasonry exposed on the interior of a building?,"this is relatively easyfor stone artifacts within a museum, and it may also be feasible for stonemasonry that is exposed on the interior of a building (price 1993)"
is it more or less easy to stonework on the outside of a building?,"it is less easyfor stonework on the outside of a building, although one may note the proposal to enclose the remains of hamar c athedral, norway, in an airconditionedenvelope of glass and aluminum (lewis 1992)"
can a stone be contaminated with a single salt?,"thehumidity regime required to prevent damage in a stone that is contaminatedwith a single salt is well established, but stone is more commonly contaminated with a mi xture of salts"
Why is it important to stabilize the moisture content of a stone?,"their purpose is to reduce the amount of rain that reaches the stoneand, insofar as is practicable, to stabilize the temperature and moisture content of the stone"
is there a handbook for stone conservation?,"it is not, however, a handbookof repair techniques; practical advice on stone conservation is availableelsewhere (e.g., ashurst and ashurst 1988)"
how to judge the condition of a stone?,"by removing thedirt, one can better see the condition of the underlying stone and thus judge13what further conservation may be necessary"
can you use detritusthat to clean a stone?,"in most cleaning methods, no attempt is made to collect the dirt and detritusthat is instead allowed to run down the stone and pass into the drains"
thestone is more vulnerable to pollutants or what?,"a number of authors have emphasized the damage that can be caused bycleaning: loss of surface, staining, deposition of soluble salts, or making thestone more vulnerable to pollutants or biological growths"
can you use lasers to clean a stone?,"lasersthe possibility of using lasers to clean stone is attracting increasing attention,and laser cleaning is now available comm ercially"
When is the light absorbed by the clean surface of the stone?,"while the stone is dirty, the light is absorbed andcleaning proceeds. once the dirt has been removed, however, the light isreflected by the clean surface, and no more material is removed"
What is the main focus of current research on the stone?,"current research is aimed at selecting the optimal wavelength and pulseenergy; at examining the effects on the stone, both physical and chemical; at14 chapter 2putting it right 15in situations where soluble salts are a major contributor to decay, it makes senseto try to remove the salts"
What bacterium removed the black crust on marble?,"gauri, however, hasdemonstrated the use of the anaerobic sulfurreducing bacterium  desulfovibriodesulfuricans  in removing the black crust on marble (gauri et al. 1992)"
"If a limestone is heavilysulfated, what is all that is holding it together?","1992b; alessandrini etal. 1993). a word of warning may be appropriate: if a limestone is heavilysulfated, the calcium sulfate may be all that is holding it together, and removalcould be disastrous"
the effectiveness of the technique isstrongly influenced by the type of stone and by the presence,"the effectiveness of the technique isstrongly influenced by the type of stone and by the presence of the salt, andthere are dangers inherent in the high tem perature gradients that are generated"
what is it called when stone is weakened by decay?,"active conservation: consolidationwhere stone is severely weakened by decay, some form of consolidation may benecessary to restore some strength"
Why would a stone resist further decay?,"ide ally, one might hope to make the stoneat least as strong as it was originally, so it might resist further decay; but eventhe strength to resist the battering of the wind or the wing of a bird may beenough to prolong survival"
how do you attach a decayed stone to a sound stone?,"it all sounds so easy. one just has to find something that will penetrate thedecayed stone, binding it t ogether and securing it onto the sound stonebeneath"
what could be done to protect thestone from further decay?,and why stop there? why not find something that will also protect thestone from further decay? perhaps it could embed the salts and pr event furthercycles of crystallization or hydration
Will the surface of thestone waterrepellent resist acid rain?,"or perhaps it could make the surface of thestone waterrepellent, so it will resist acid rain. of course, the treatment willneed to be reasonably cheap, easy to apply, and safe to handle"
Why do untreated stones need to have the same moisture expansion as the untreated stone?,"the treated stone will need to have much the same moistureexpansion, thermal expansion, and elastic modulus as the untreated stone, inorder to avoid internal stresses"
what is the name of the allsinging alldancing stone consolidantcumpres,"it is like trying to find one pill that will cure all thediseases known to humankind. but this has not hindered the search for an allsinging, alldancing stone consolidantcumpreservative"
how do you penetrate a stone?,"16 chapter 2putting it right 17you have to start somewhere, and one of the properties that a consolidant musthave is the ability to penetrate the stone"
How do you strengthen a stone?,"this, in turn, requires a low visco sityand a low contact angle. next, the consolidant needs to sti ffen or set once it is inplace in order to strengthen the stone"
How do you draw a circle on a stone?,"consolidants are usually applied to the surface of the stone by br ush, spray,pipette, or by immersion, and are drawn into the stone by capillarity"
what is more natural than putting lime into limestone?,"limenothing could be more natural than putting lime into limestone. the emotiveappeal of lime must account for at least some of its popularity. there is,however, a sound rational basis for its use"
"if a saturated solution of calciumhydroxide is allowed to penetrate into limestone, what will","if a saturated solution of calciumhydroxide is allowed to penetrate into limestone, subsequent evaporation of thesolution will lead to the deposition of calcium hydroxide within the stone"
can calcium hydroxide be used to harden a lime mortar?,"this could serve to consolidate the stone, in much the same way as carbonationof calcium hydroxide leads to the hardening of a lime mortar"
What is the reason for the sturdiness of marble treated with lime?,"a later paper (krumbeinet al. 1993) suggests that the observed sterility of marble treated with lime maybe due not to biocidal action but to pore closure, which prevents colonization"
a number of techniques have been proposed for introducing the bariumhydroxide into what stone,a number of techniques have been proposed for introducing the bariumhydroxide into the stone
has anyone tried the procedure on stone?,"use of this procedure on stone has yet to be reported.organic polymersyou name it, somebody has tried it"
the majority of researchers believe that stone needs to what?,"we are having to learn by experience.the majority of researchers believe that stone needs to ""breathe"
Where should stone remain permeable to water vapor?,""" in otherwords, stone should remain permeable to water vapor, in order to avoid anyputting it right 19buildup of moisture (and consequent shear stresses) at the interface between thetreated zone and the untreated stone below"
How much attention has been given to consolidants within stoneat the microscopic level?,"little attention has been given to the distribution of consolidants within stoneat the microscopic level, despite numerous photomicrographs taken with thescanning electron microscope"
what are the names of the stone consolidants?,"alkoxysilanesthe alkoxysilanes, or ""silanes"" for short, have undoubtedly been the mostwidely used stone consolidants over the past twenty years"
What did the wheelerfound that gave substantial strength to both limestone and sandstone?,"wheelerfound two coupling agents that gave substantial strength increases to both limestone and sandstone, but at the expense of significant darkening"
calcite limestones might prove harder to consolidate with mtmos than quartzbearingrocks,he attributed the effect to surface anticatalytic effects of the calcite crystals and went on to argue that calcitic limestonesmight therefore prove harder to consolidate with mtmos than quartzbearingrocks
How many papers describing silanes onstone are there?,"although the literature contains many papers describing the use of silanes onstone, there are very few that even attempt to come to grips with the underlyingchemistry or the associated solgel technology"
is methyl methacrylate suitable as astone consolidant?,"acrylicsalthough in situ polymerization of methyl methacrylate (and other acrylicmonomers) has its advocates, the high rigidity and glass transition temperatureof polymethyl methacrylate are generally considered to make it unsuitable as astone consolidant"
How much water is involved in formsof stone decay?,"the logic behind the approach is simple: since water is involved in most formsof stone decay, a treatment that prevents the ingress of water should help toreduce decay"
p erformance varies from stone tostone but is generally what?,"1993), and fluorinated polyurethanes(guidetti et al. 1992; chiavarini et al. 1994). p erformance varies from stone tostone but is generally promising"
What are the names of the three substances that raise the prospect of treating stone surfaceswith compounds,"reaction inhibitorscimitàn, rossi, and torraca (1994) raise the prospect of treating stone surfaceswith compounds that will inhibit the sulfation of calcium carbonate"
is the coating used to protect the stone?,"the coating is intended to protect the stone, and it is reappliedas necessary"
what do they use to deposit silica particles in the outer pores of the stone?,they have used sols ofcolloidal silica that deposit silica particles within the outer pores of the stone
how does sulfation of marbles occur?,"semiconductorsin an extensive series of papers spanning many years, skoulikidis has ar guedthat the sulfation of marbles proceeds by a mechanism comparable to thegalvanic corrosion of metals (e.g"
Which biocides can be applied to su rface of a stone?,"caneva, nugari, and salvadori (1991) provide a valuable account of the manyavailable biocides, which are normally applied to the su rface of the stone bybrush or spray"
How long did it take to eliminate bacteria from stonework at elne cathedral?,"nonetheless, orial and brunet (1992) present a satisfying account of the use of streptomycin and kanamycin to eliminatebacteria from stonework at elne cathedral for a period of more than sevenyears, with a resulting cessation of decay"
how do you stop stone decay in chapter 2 24?,chapter 2 24chapter 3do they work?assessing theeffectiveness oftreatmentsthis chapter is concerned with the evaluation of treatments that are intendedto reduce or stop stone decay
what is the advantage of having a specific stone and environment?,it also hasthe advantage that the procedure can be tailored to suit a particular stone andenvironment (e.g
"the pore size distribution of a treated stone, its appearance, and the depth of penetration","these include the porosity and pore size distribution ofthe treated stone, its appearance, and the depth of penetration"
the extent of stone decay has to be measured by doing what?,properties that change with decaywe have already looked at a number of tests that are intended to measurethe extent of stone decay
is it difficult to characterize treated stone as decayed stone?,"if it is difficult to characterize decayed stone, thencharacterizing treated stone is doubly difficult"
the crystallization test that relies on the absorption of asodium sulfate solution is often used,"for example, a crystallization test that relies on the absorption of asodium sulfate solution is frequently used to determine a stone's resistance tosalt weathering"
what should be applied to a stonethat?,"the test should not be applied unthinkingly, however, to a stonethat has been coated with a water repellent. excellent performance in the test(e.g"
"the bombardment of the stone with low energy 85kr atoms, whichbecome trapped in the","itfirst entails the bombardment of the stone with low energy 85kr atoms, whichbecome trapped in the surface layers"
who were the previous generations of stonework treated by?,"in many of the caseswith which we are confronted, the stonework has already been treated byprevious generations who were perhaps less cautious or more optimistic than we29may be"
All research on stone treatment is based on the assumption that treatment is to be applied to what,retreatmentvirtually all research on stone treatment is based on the assumption that thetreatment is to be applied to stone that has never been treated before
what is it called when a stone blocks pores of the stone?,any consolidant that blocks the pores of the stone and prevents the subsequentapplication of another consolidant must clearly be regarded with some caution
can a stone be assumed fragile or fragile?,"it is possible that such swelling might cause damage to the stone—which can safely be assumed fragile, or the consolidant would not have beenapplied in the first place"
"If we cannot preserve stone forever, it is imperative that we make the best possible record of","recordingif we cannot preserve stone forever, it is imperative that we make the bestpossible record of it"
the ability to produce highly accurate replicas of decayed stonework is anattractive,the ability to produce highly accurate replicas of decayed stonework is anattractive proposition that has been seized upon by some conservators (l arson1992)
what is the concern about the face of the stone?,"onthe face of it, this must surely be welcomed. it indicates the growing concernabout stone and the growing numbers of researchers who are working on stone"
the quality of research research into stone conservation demands an interdisciplinary approach to what?,"there is no ""c ommon language.""33conduct and quality of researchresearch into stone conservation demands an interdisciplinary approach"
